# background statistics
# cycle   tau/boxsize    a             conformal H/H0  phi(k=0)       T00(k=0)
      0   8.786952e-01   9.900990e-03   5.696651e+00   0.000000e+00   3.120460e-01
      1   8.884608e-01   1.009000e-02   5.641521e+00   2.210022e-10   3.120460e-01
      2   8.982264e-01   1.028074e-02   5.587474e+00   4.322053e-10   3.120460e-01
      3   9.079920e-01   1.047322e-02   5.534479e+00   6.344539e-10   3.120460e-01
      4   9.177577e-01   1.066743e-02   5.482505e+00   8.283542e-10   3.120460e-01
      5   9.275233e-01   1.086338e-02   5.431521e+00   1.014464e-09   3.120460e-01
      6   9.372889e-01   1.106107e-02   5.381499e+00   1.193298e-09   3.120460e-01
      7   9.470545e-01   1.126049e-02   5.332412e+00   1.365335e-09   3.120460e-01
      8   9.568202e-01   1.146165e-02   5.284232e+00   1.531015e-09   3.120460e-01
      9   9.665858e-01   1.166454e-02   5.236935e+00   1.690751e-09   3.120460e-01
     10   9.763514e-01   1.186917e-02   5.190496e+00   1.844923e-09   3.120460e-01
     11   9.861170e-01   1.207554e-02   5.144892e+00   1.993887e-09   3.120460e-01
     12   9.958827e-01   1.228364e-02   5.100099e+00   2.137973e-09   3.120460e-01
     13   1.005648e+00   1.249348e-02   5.056096e+00   2.277490e-09   3.120460e-01
     14   1.015414e+00   1.270506e-02   5.012861e+00   2.412725e-09   3.120460e-01
     15   1.025180e+00   1.291837e-02   4.970375e+00   2.543947e-09   3.120460e-01
     16   1.034945e+00   1.313341e-02   4.928618e+00   2.671406e-09   3.120460e-01
     17   1.044711e+00   1.335020e-02   4.887571e+00   2.795336e-09   3.120460e-01
     18   1.054476e+00   1.356872e-02   4.847215e+00   2.915957e-09   3.120460e-01
     19   1.064242e+00   1.378897e-02   4.807533e+00   3.033473e-09   3.120460e-01
     20   1.074008e+00   1.401096e-02   4.768508e+00   3.148077e-09   3.120460e-01
     21   1.083773e+00   1.423469e-02   4.730123e+00   3.259949e-09   3.120460e-01
     22   1.093539e+00   1.446015e-02   4.692363e+00   3.369256e-09   3.120460e-01
     23   1.103305e+00   1.468735e-02   4.655212e+00   3.476157e-09   3.120460e-01
     24   1.113070e+00   1.491628e-02   4.618656e+00   3.580801e-09   3.120460e-01
     25   1.122836e+00   1.514696e-02   4.582679e+00   3.683326e-09   3.120460e-01
     26   1.132601e+00   1.537936e-02   4.547268e+00   3.783865e-09   3.120460e-01
     27   1.142367e+00   1.561351e-02   4.512410e+00   3.882539e-09   3.120460e-01
     28   1.152133e+00   1.584938e-02   4.478092e+00   3.979465e-09   3.120460e-01
     29   1.161898e+00   1.608700e-02   4.444300e+00   4.074751e-09   3.120460e-01
     30   1.171664e+00   1.632635e-02   4.411023e+00   4.168500e-09   3.120460e-01
     31   1.181430e+00   1.656744e-02   4.378249e+00   4.260808e-09   3.120460e-01
     32   1.191195e+00   1.681026e-02   4.345966e+00   4.351767e-09   3.120460e-01
     33   1.200961e+00   1.705482e-02   4.314163e+00   4.441462e-09   3.120460e-01
     34   1.210726e+00   1.730112e-02   4.282830e+00   4.529975e-09   3.120460e-01
     35   1.220492e+00   1.754915e-02   4.251956e+00   4.617380e-09   3.120459e-01
     36   1.230258e+00   1.779892e-02   4.221531e+00   4.703751e-09   3.120459e-01
     37   1.240023e+00   1.805042e-02   4.191544e+00   4.789155e-09   3.120459e-01
     38   1.249789e+00   1.830366e-02   4.161987e+00   4.873656e-09   3.120459e-01
     39   1.259555e+00   1.855863e-02   4.132850e+00   4.957316e-09   3.120459e-01
     40   1.269320e+00   1.881535e-02   4.104125e+00   5.040192e-09   3.120459e-01
     41   1.279086e+00   1.907379e-02   4.075801e+00   5.122338e-09   3.120459e-01
     42   1.288851e+00   1.933398e-02   4.047872e+00   5.203804e-09   3.120459e-01
     43   1.298617e+00   1.959590e-02   4.020328e+00   5.284641e-09   3.120459e-01
     44   1.308383e+00   1.985955e-02   3.993161e+00   5.364894e-09   3.120459e-01
     45   1.318148e+00   2.012495e-02   3.966365e+00   5.444607e-09   3.120459e-01
     46   1.327914e+00   2.039208e-02   3.939930e+00   5.523821e-09   3.120459e-01
     47   1.337680e+00   2.066094e-02   3.913850e+00   5.602575e-09   3.120459e-01
     48   1.347445e+00   2.093154e-02   3.888118e+00   5.680906e-09   3.120459e-01
     49   1.357211e+00   2.120388e-02   3.862727e+00   5.758850e-09   3.120459e-01
     50   1.366976e+00   2.147795e-02   3.837669e+00   5.836440e-09   3.120459e-01
