# power spectrum of delta
# redshift z=1.394777
# k              Pk             sigma(k)       sigma(Pk)      count
  7.830312e-03   6.128985e-05   1.198114e-03   1.194762e-05   18
  1.686348e-02   1.692858e-03   2.897918e-03   1.829343e-04   152
  2.725284e-02   6.209666e-03   3.060867e-03   2.882185e-04   416
  3.742835e-02   1.255681e-02   2.912555e-03   4.840467e-04   770
  4.808679e-02   2.105071e-02   3.119650e-03   5.959934e-04   1364
  5.876109e-02   3.131851e-02   3.054550e-03   7.191269e-04   1976
  6.939824e-02   4.616402e-02   3.112555e-03   8.884093e-04   2792
  7.984642e-02   5.912131e-02   2.971805e-03   1.009396e-03   3578
  9.038229e-02   6.996367e-02   3.049521e-03   1.030736e-03   4724
  1.011318e-01   8.133517e-02   3.134595e-03   1.062829e-03   6032
  1.117485e-01   9.488195e-02   3.016599e-03   1.160863e-03   7072
  1.222702e-01   1.153203e-01   3.056387e-03   1.274176e-03   8634
  1.329722e-01   1.364114e-01   3.095256e-03   1.361914e-03   10336
  1.436677e-01   1.508740e-01   3.082009e-03   1.361881e-03   11940
  1.541872e-01   1.613865e-01   3.021465e-03   1.413033e-03   13490
  1.647185e-01   1.761005e-01   3.054444e-03   1.396808e-03   15656
  1.754149e-01   1.918347e-01   3.102608e-03   1.433130e-03   18008
  1.860920e-01   2.144069e-01   3.069464e-03   1.512815e-03   19964
  1.966957e-01   2.340314e-01   3.066093e-03   1.574926e-03   22354
  2.072851e-01   2.468643e-01   3.030819e-03   1.573244e-03   24648
  2.179134e-01   2.618890e-01   3.083109e-03   1.567486e-03   27592
  2.285517e-01   2.789808e-01   3.075318e-03   1.606376e-03   30152
  2.391687e-01   2.969373e-01   3.069056e-03   1.646901e-03   33046
  2.497808e-01   3.214977e-01   3.053846e-03   1.701571e-03   35992
  2.604233e-01   3.431760e-01   3.074764e-03   1.740625e-03   39304
  2.710722e-01   3.653088e-01   3.082145e-03   1.762356e-03   42608
  2.817050e-01   3.802343e-01   3.058267e-03   1.783044e-03   45758
  2.923349e-01   3.951746e-01   3.072286e-03   1.796692e-03   49536
  3.029238e-01   4.167714e-01   3.039208e-03   1.820006e-03   52488
  3.135134e-01   4.440268e-01   3.084628e-03   1.863220e-03   57034
  3.241511e-01   4.540243e-01   3.061146e-03   1.840565e-03   60648
  3.347969e-01   4.815524e-01   3.076329e-03   1.890368e-03   65044
  3.454223e-01   5.052624e-01   3.057760e-03   1.914767e-03   68720
  3.560505e-01   5.213171e-01   3.078281e-03   1.919279e-03   73538
  3.667175e-01   5.434001e-01   3.076939e-03   1.947364e-03   78080
  3.773260e-01   5.695944e-01   3.039859e-03   1.997592e-03   81572
  3.879192e-01   5.941409e-01   3.081238e-03   2.013062e-03   87248
  3.985882e-01   6.140691e-01   3.084591e-03   2.020380e-03   92266
  4.092322e-01   6.396246e-01   3.063169e-03   2.070601e-03   96696
  4.198039e-01   6.585099e-01   3.037602e-03   2.085086e-03   100904
  4.303789e-01   6.853630e-01   3.065517e-03   2.106014e-03   107036
  4.410480e-01   7.126537e-01   3.089487e-03   2.121904e-03   113362
  4.517307e-01   7.340627e-01   3.072092e-03   2.123924e-03   118176
  4.623378e-01   7.612639e-01   3.054661e-03   2.190366e-03   122944
  4.729644e-01   7.874379e-01   3.083007e-03   2.198956e-03   129902
  4.836049e-01   8.059206e-01   3.061727e-03   2.193365e-03   134944
  4.942158e-01   8.404536e-01   3.064979e-03   2.246235e-03   140952
  5.048213e-01   8.591394e-01   3.064662e-03   2.251671e-03   147072
  5.154342e-01   8.875787e-01   3.060800e-03   2.261101e-03   153382
  5.260893e-01   9.189428e-01   3.082622e-03   2.272239e-03   160952
  5.367508e-01   9.392762e-01   3.070294e-03   2.304152e-03   166640
  5.473579e-01   9.750776e-01   3.057153e-03   2.353348e-03   172448
  5.579787e-01   9.974300e-01   3.077577e-03   2.354119e-03   180594
  5.686178e-01   1.027299e+00   3.060710e-03   2.369262e-03   186556
  5.792219e-01   1.055006e+00   3.063394e-03   2.394246e-03   193528
  5.898242e-01   1.088965e+00   3.060684e-03   2.427665e-03   200626
  6.004609e-01   1.114273e+00   3.076604e-03   2.445762e-03   209256
  6.111150e-01   1.147725e+00   3.069663e-03   2.472924e-03   216020
  6.217510e-01   1.182362e+00   3.075746e-03   2.499154e-03   223768
  6.323610e-01   1.204205e+00   3.055783e-03   2.521226e-03   230234
  6.429887e-01   1.240040e+00   3.074922e-03   2.532411e-03   239800
  6.536248e-01   1.273204e+00   3.063054e-03   2.564391e-03   246568
  6.642393e-01   1.309058e+00   3.068328e-03   2.591615e-03   254828
  6.748534e-01   1.331645e+00   3.064424e-03   2.589069e-03   263074
  6.854951e-01   1.364007e+00   3.071509e-03   2.613689e-03   272312
  6.961385e-01   1.399503e+00   3.070197e-03   2.646199e-03   280376
  7.067732e-01   1.436235e+00   3.071500e-03   2.677215e-03   288884
  7.174012e-01   1.465384e+00   3.068501e-03   2.682855e-03   297602
  7.280177e-01   1.510467e+00   3.057614e-03   2.731771e-03   305520
  7.386402e-01   1.535823e+00   3.075198e-03   2.724807e-03   315976
  7.492461e-01   1.570912e+00   3.052723e-03   2.749324e-03   322778
  7.598720e-01   1.615550e+00   3.080021e-03   2.787597e-03   335372
  7.705286e-01   1.641515e+00   3.068318e-03   2.801670e-03   343464
  7.811635e-01   1.676833e+00   3.070705e-03   2.828005e-03   352912
  7.917934e-01   1.712626e+00   3.070498e-03   2.835671e-03   362666
  8.024224e-01   1.757304e+00   3.063690e-03   2.889531e-03   371884
  8.130465e-01   1.791654e+00   3.069929e-03   2.889926e-03   382280
  8.236583e-01   1.829088e+00   3.060755e-03   2.918074e-03   390888
  8.342648e-01   1.864040e+00   3.067168e-03   2.942408e-03   402234
  8.448912e-01   1.917120e+00   3.064832e-03   2.981784e-03   412576
  8.555263e-01   1.938150e+00   3.071788e-03   2.977693e-03   423732
  8.661590e-01   1.981383e+00   3.068142e-03   3.006978e-03   433624
  8.767950e-01   2.021849e+00   3.072203e-03   3.023676e-03   445154
  8.874347e-01   2.067365e+00   3.069139e-03   3.069147e-03   455584
  8.980596e-01   2.101564e+00   3.064716e-03   3.079647e-03   465588
  9.086714e-01   2.139167e+00   3.065163e-03   3.097887e-03   476762
  9.193048e-01   2.180488e+00   3.073106e-03   3.115099e-03   489552
  9.299472e-01   2.229337e+00   3.069632e-03   3.155605e-03   500328
  9.405628e-01   2.274206e+00   3.059261e-03   3.185937e-03   509852
  9.511854e-01   2.307945e+00   3.074339e-03   3.190620e-03   524234
  9.618189e-01   2.348819e+00   3.061952e-03   3.211515e-03   534104
  9.724448e-01   2.393477e+00   3.070528e-03   3.238883e-03   547048
  9.830800e-01   2.434682e+00   3.073862e-03   3.247807e-03   559328
  9.937180e-01   2.482392e+00   3.070866e-03   3.282143e-03   571326
  1.004339e+00   2.522069e+00   3.060367e-03   3.302045e-03   581920
  1.014951e+00   2.566917e+00   3.064588e-03   3.327082e-03   594832
  1.025571e+00   2.608232e+00   3.068054e-03   3.347581e-03   608048
  1.036206e+00   2.660150e+00   3.070252e-03   3.373773e-03   621526
  1.046839e+00   2.702971e+00   3.066112e-03   3.411910e-03   633240
  1.057456e+00   2.743827e+00   3.064953e-03   3.412099e-03   645472
  1.068086e+00   2.787688e+00   3.075342e-03   3.434950e-03   660906
  1.078726e+00   2.836780e+00   3.067576e-03   3.461300e-03   672856
  1.089356e+00   2.882859e+00   3.067094e-03   3.473044e-03   685980
  1.099980e+00   2.929297e+00   3.067978e-03   3.501068e-03   699256
  1.110619e+00   2.978601e+00   3.074976e-03   3.518077e-03   714730
  1.121246e+00   3.024904e+00   3.059348e-03   3.558086e-03   725152
  1.131863e+00   3.071920e+00   3.067634e-03   3.575817e-03   740420
  1.142485e+00   3.110131e+00   3.069089e-03   3.590097e-03   754312
  1.153114e+00   3.157434e+00   3.069897e-03   3.609234e-03   769114
  1.163749e+00   3.218064e+00   3.069209e-03   3.646591e-03   783488
  1.174365e+00   3.257623e+00   3.058900e-03   3.658333e-03   794968
  1.184981e+00   3.310768e+00   3.070107e-03   3.674631e-03   812366
  1.195609e+00   3.366068e+00   3.065134e-03   3.706245e-03   825976
  1.206250e+00   3.407787e+00   3.075220e-03   3.714935e-03   843352
  1.216898e+00   3.454011e+00   3.073224e-03   3.731849e-03   857280
  1.227524e+00   3.517934e+00   3.063189e-03   3.768995e-03   869542
  1.238147e+00   3.567854e+00   3.070752e-03   3.790607e-03   887128
  1.248772e+00   3.617171e+00   3.063166e-03   3.810268e-03   900032
  1.259388e+00   3.661018e+00   3.067377e-03   3.822813e-03   916560
  1.270005e+00   3.702842e+00   3.061783e-03   3.850792e-03   930922
  1.280635e+00   3.763326e+00   3.071795e-03   3.859779e-03   949844
  1.291287e+00   3.823343e+00   3.076939e-03   3.876864e-03   966736
  1.301925e+00   3.869707e+00   3.065819e-03   3.916337e-03   978776
  1.312537e+00   3.923458e+00   3.064137e-03   3.936194e-03   994522
  1.323161e+00   3.973755e+00   3.068907e-03   3.947999e-03   1012420
  1.333794e+00   4.016748e+00   3.071598e-03   3.956373e-03   1029408
  1.344410e+00   4.077568e+00   3.058405e-03   4.003745e-03   1041658
  1.355032e+00   4.133709e+00   3.072381e-03   4.007522e-03   1063520
