# cross spectrum of phi(z1) and phi(z2)
# redshift z=1.197496
# k              Pk             sigma(k)       sigma(Pk)      count
  7.830312e-03   2.580871e-10   1.198114e-03   5.810534e-11   18
  1.686348e-02   3.058051e-10   2.897918e-03   2.921559e-11   152
  2.725284e-02   1.826773e-10   3.060867e-03   8.542594e-12   416
  3.742835e-02   1.000621e-10   2.912555e-03   3.747738e-12   770
  4.808679e-02   6.276966e-11   3.119650e-03   1.841470e-12   1364
  5.876109e-02   4.123279e-11   3.054550e-03   9.382584e-13   1976
  6.939824e-02   3.139753e-11   3.112555e-03   5.976658e-13   2792
  7.984642e-02   2.290101e-11   2.971805e-03   3.901513e-13   3578
  9.038229e-02   1.647490e-11   3.049521e-03   2.434444e-13   4724
  1.011318e-01   1.220016e-11   3.134595e-03   1.615008e-13   6032
  1.117485e-01   9.524972e-12   3.016599e-03   1.168639e-13   7072
  1.222702e-01   8.025680e-12   3.056387e-03   8.839606e-14   8634
  1.329722e-01   6.802017e-12   3.095256e-03   6.833562e-14   10336
  1.436677e-01   5.506221e-12   3.082009e-03   5.000042e-14   11940
  1.541872e-01   4.431663e-12   3.021465e-03   3.932859e-14   13490
  1.647185e-01   3.684469e-12   3.054444e-03   2.937228e-14   15656
  1.754149e-01   3.112356e-12   3.102608e-03   2.344658e-14   18008
  1.860920e-01   2.744131e-12   3.069464e-03   1.960187e-14   19964
  1.966957e-01   2.391694e-12   3.066093e-03   1.624355e-14   22354
  2.072851e-01   2.039267e-12   3.030819e-03   1.317437e-14   24648
  2.179134e-01   1.761088e-12   3.083109e-03   1.068727e-14   27592
  2.285517e-01   1.540452e-12   3.075318e-03   8.989290e-15   30152
  2.391687e-01   1.362293e-12   3.069056e-03   7.650456e-15   33046
  2.497808e-01   1.236891e-12   3.053846e-03   6.666633e-15   35992
  2.604233e-01   1.111874e-12   3.074764e-03   5.749609e-15   39304
  2.710722e-01   1.005929e-12   3.082145e-03   4.958241e-15   42608
  2.817050e-01   8.903160e-13   3.058267e-03   4.277568e-15   45758
  2.923349e-01   7.941112e-13   3.072286e-03   3.705693e-15   49536
  3.029238e-01   7.221976e-13   3.039208e-03   3.243446e-15   52488
  3.135134e-01   6.671382e-13   3.084628e-03   2.886113e-15   57034
  3.241511e-01   5.939209e-13   3.061146e-03   2.485924e-15   60648
  3.347969e-01   5.504397e-13   3.076329e-03   2.236898e-15   65044
  3.454223e-01   5.072020e-13   3.057760e-03   1.991707e-15   68720
  3.560505e-01   4.604641e-13   3.078281e-03   1.761173e-15   73538
  3.667175e-01   4.242544e-13   3.076939e-03   1.582433e-15   78080
  3.773260e-01   3.944725e-13   3.039859e-03   1.441734e-15   81572
  3.879192e-01   3.657588e-13   3.081238e-03   1.293977e-15   87248
  3.985882e-01   3.369477e-13   3.084591e-03   1.164171e-15   92266
  4.092322e-01   3.141174e-13   3.063169e-03   1.067159e-15   96696
  4.198039e-01   2.902869e-13   3.037602e-03   9.675124e-16   100904
  4.303789e-01   2.711937e-13   3.065517e-03   8.828066e-16   107036
  4.410480e-01   2.542728e-13   3.089487e-03   8.018444e-16   113362
  4.517307e-01   2.363049e-13   3.072092e-03   7.280833e-16   118176
  4.623378e-01   2.217327e-13   3.054661e-03   6.806496e-16   122944
  4.729644e-01   2.080407e-13   3.083007e-03   6.204727e-16   129902
  4.836049e-01   1.928521e-13   3.061727e-03   5.639859e-16   134944
  4.942158e-01   1.835109e-13   3.064979e-03   5.280949e-16   140952
  5.048213e-01   1.705763e-13   3.064662e-03   4.842699e-16   147072
  5.154342e-01   1.610810e-13   3.060800e-03   4.454952e-16   153382
  5.260893e-01   1.525910e-13   3.082622e-03   4.104830e-16   160952
  5.367508e-01   1.430784e-13   3.070294e-03   3.827757e-16   166640
  5.473579e-01   1.359886e-13   3.057153e-03   3.602378e-16   172448
  5.579787e-01   1.278723e-13   3.077577e-03   3.318003e-16   180594
  5.686178e-01   1.210104e-13   3.060710e-03   3.084845e-16   186556
  5.792219e-01   1.146240e-13   3.063394e-03   2.894687e-16   193528
  5.898242e-01   1.090344e-13   3.060684e-03   2.708967e-16   200626
  6.004609e-01   1.030300e-13   3.076604e-03   2.530021e-16   209256
  6.111150e-01   9.814988e-14   3.069663e-03   2.374128e-16   216020
  6.217510e-01   9.335960e-14   3.075746e-03   2.225362e-16   223768
  6.323610e-01   8.801457e-14   3.055783e-03   2.088876e-16   230234
  6.429887e-01   8.410008e-14   3.074922e-03   1.960929e-16   239800
  6.536248e-01   8.022702e-14   3.063054e-03   1.844933e-16   246568
  6.642393e-01   7.662062e-14   3.068328e-03   1.741758e-16   254828
  6.748534e-01   7.257269e-14   3.064424e-03   1.630669e-16   263074
  6.854951e-01   6.902278e-14   3.071509e-03   1.540481e-16   272312
  6.961385e-01   6.604671e-14   3.070197e-03   1.460212e-16   280376
  7.067732e-01   6.319299e-14   3.071500e-03   1.381463e-16   288884
  7.174012e-01   6.006994e-14   3.068501e-03   1.296307e-16   297602
  7.280177e-01   5.795678e-14   3.057614e-03   1.240606e-16   305520
  7.386402e-01   5.503100e-14   3.075198e-03   1.164913e-16   315976
  7.492461e-01   5.255719e-14   3.052723e-03   1.104516e-16   322778
  7.598720e-01   5.066259e-14   3.080021e-03   1.055339e-16   335372
  7.705286e-01   4.806734e-14   3.068318e-03   9.968248e-17   343464
  7.811635e-01   4.599974e-14   3.070705e-03   9.462199e-17   352912
  7.917934e-01   4.411663e-14   3.070498e-03   9.009335e-17   362666
  8.024224e-01   4.254891e-14   3.063690e-03   8.628837e-17   371884
  8.130465e-01   4.057816e-14   3.069929e-03   8.154392e-17   382280
  8.236583e-01   3.888536e-14   3.060755e-03   7.772702e-17   390888
  8.342648e-01   3.733720e-14   3.067168e-03   7.420607e-17   402234
  8.448912e-01   3.606783e-14   3.064832e-03   7.113317e-17   412576
  8.555263e-01   3.428209e-14   3.071788e-03   6.735122e-17   423732
  8.661590e-01   3.306672e-14   3.068142e-03   6.451314e-17   433624
  8.767950e-01   3.177125e-14   3.072203e-03   6.153296e-17   445154
  8.874347e-01   3.050578e-14   3.069139e-03   5.907475e-17   455584
  8.980596e-01   2.929419e-14   3.064716e-03   5.642872e-17   465588
  9.086714e-01   2.801410e-14   3.065163e-03   5.379638e-17   476762
  9.193048e-01   2.703551e-14   3.073106e-03   5.144290e-17   489552
  9.299472e-01   2.608089e-14   3.069632e-03   4.971937e-17   500328
  9.405628e-01   2.513188e-14   3.059261e-03   4.763194e-17   509852
  9.511854e-01   2.404151e-14   3.074339e-03   4.555436e-17   524234
  9.618189e-01   2.314372e-14   3.061952e-03   4.368350e-17   534104
  9.724448e-01   2.230731e-14   3.070528e-03   4.192663e-17   547048
  9.830800e-01   2.141504e-14   3.073862e-03   4.011243e-17   559328
  9.937180e-01   2.069699e-14   3.070866e-03   3.876262e-17   571326
  1.004339e+00   1.993390e-14   3.060367e-03   3.713449e-17   581920
  1.014951e+00   1.910615e-14   3.064588e-03   3.568162e-17   594832
  1.025571e+00   1.846426e-14   3.068054e-03   3.440459e-17   608048
  1.036206e+00   1.778258e-14   3.070252e-03   3.311109e-17   621526
  1.046839e+00   1.713831e-14   3.066112e-03   3.195042e-17   633240
  1.057456e+00   1.652009e-14   3.064953e-03   3.061595e-17   645472
  1.068086e+00   1.595191e-14   3.075342e-03   2.956873e-17   660906
  1.078726e+00   1.539046e-14   3.067576e-03   2.856853e-17   672856
  1.089356e+00   1.480250e-14   3.067094e-03   2.748658e-17   685980
  1.099980e+00   1.422531e-14   3.067978e-03   2.650239e-17   699256
  1.110619e+00   1.378349e-14   3.074976e-03   2.546655e-17   714730
  1.121246e+00   1.327432e-14   3.059348e-03   2.468703e-17   725152
  1.131863e+00   1.278717e-14   3.067634e-03   2.386036e-17   740420
  1.142485e+00   1.228431e-14   3.069089e-03   2.298908e-17   754312
  1.153114e+00   1.186628e-14   3.069897e-03   2.221344e-17   769114
  1.163749e+00   1.155157e-14   3.069209e-03   2.154911e-17   783488
  1.174365e+00   1.109185e-14   3.058900e-03   2.078723e-17   794968
  1.184981e+00   1.072989e-14   3.070107e-03   2.010666e-17   812366
  1.195609e+00   1.036604e-14   3.065134e-03   1.947499e-17   825976
  1.206250e+00   9.965289e-15   3.075220e-03   1.883029e-17   843352
  1.216898e+00   9.648060e-15   3.073224e-03   1.821538e-17   857280
  1.227524e+00   9.364306e-15   3.063189e-03   1.772468e-17   869542
  1.238147e+00   9.033540e-15   3.070752e-03   1.714679e-17   887128
  1.248772e+00   8.724762e-15   3.063166e-03   1.661063e-17   900032
