# power spectrum of delta_N
# redshift z=1.093858
# k              Pk             sigma(k)       sigma(Pk)      count
  7.830312e-03   7.885149e-05   1.198114e-03   1.535042e-05   18
  1.686348e-02   2.160443e-03   2.897918e-03   2.332540e-04   152
  2.725284e-02   7.920317e-03   3.060867e-03   3.676547e-04   416
  3.742835e-02   1.599825e-02   2.912555e-03   6.165115e-04   770
  4.808679e-02   2.678761e-02   3.119650e-03   7.589968e-04   1364
  5.876109e-02   3.988910e-02   3.054550e-03   9.153960e-04   1976
  6.939824e-02   5.873644e-02   3.112555e-03   1.130426e-03   2792
  7.984642e-02   7.529061e-02   2.971805e-03   1.281709e-03   3578
  9.038229e-02   8.903779e-02   3.049521e-03   1.311029e-03   4724
  1.011318e-01   1.037521e-01   3.134595e-03   1.353844e-03   6032
  1.117485e-01   1.208902e-01   3.016599e-03   1.481822e-03   7072
  1.222702e-01   1.472289e-01   3.056387e-03   1.626749e-03   8634
  1.329722e-01   1.739656e-01   3.095256e-03   1.740633e-03   10336
  1.436677e-01   1.928884e-01   3.082009e-03   1.741178e-03   11940
  1.541872e-01   2.069618e-01   3.021465e-03   1.813086e-03   13490
  1.647185e-01   2.268564e-01   3.054444e-03   1.799128e-03   15656
  1.754149e-01   2.471462e-01   3.102608e-03   1.842330e-03   18008
  1.860920e-01   2.762216e-01   3.069464e-03   1.949345e-03   19964
  1.966957e-01   3.018202e-01   3.066093e-03   2.032664e-03   22354
  2.072851e-01   3.187210e-01   3.030819e-03   2.027737e-03   24648
  2.179134e-01   3.392631e-01   3.083109e-03   2.026306e-03   27592
  2.285517e-01   3.635271e-01   3.075318e-03   2.099475e-03   30152
  2.391687e-01   3.870798e-01   3.069056e-03   2.154618e-03   33046
  2.497808e-01   4.188167e-01   3.053846e-03   2.214482e-03   35992
  2.604233e-01   4.483065e-01   3.074764e-03   2.276729e-03   39304
  2.710722e-01   4.770394e-01   3.082145e-03   2.302243e-03   42608
  2.817050e-01   4.995115e-01   3.058267e-03   2.339261e-03   45758
  2.923349e-01   5.201397e-01   3.072286e-03   2.361958e-03   49536
  3.029238e-01   5.497978e-01   3.039208e-03   2.396985e-03   52488
