# power spectrum of phi
# redshift z=0.794787
# k              Pk             sigma(k)       sigma(Pk)      count
  7.830312e-03   2.386667e-10   1.198114e-03   5.372918e-11   18
  1.686348e-02   2.823491e-10   2.897918e-03   2.696432e-11   152
  2.725284e-02   1.687500e-10   3.060867e-03   7.893124e-12   416
  3.742835e-02   9.236710e-11   2.912555e-03   3.464272e-12   770
  4.808679e-02   5.779613e-11   3.119650e-03   1.696579e-12   1364
  5.876109e-02   3.809268e-11   3.054550e-03   8.670682e-13   1976
  6.939824e-02   2.891786e-11   3.112555e-03   5.497723e-13   2792
  7.984642e-02   2.116594e-11   2.971805e-03   3.575808e-13   3578
  9.038229e-02   1.520253e-11   3.049521e-03   2.237383e-13   4724
  1.011318e-01   1.135497e-11   3.134595e-03   1.491603e-13   6032
  1.117485e-01   8.845474e-12   3.016599e-03   1.088214e-13   7072
  1.222702e-01   7.505824e-12   3.056387e-03   8.244186e-14   8634
  1.329722e-01   6.350856e-12   3.095256e-03   6.392426e-14   10336
  1.436677e-01   5.188295e-12   3.082009e-03   4.690412e-14   11940
  1.541872e-01   4.220732e-12   3.021465e-03   3.719659e-14   13490
  1.647185e-01   3.563115e-12   3.054444e-03   2.819359e-14   15656
  1.754149e-01   3.018773e-12   3.102608e-03   2.244739e-14   18008
  1.860920e-01   2.665267e-12   3.069464e-03   1.888528e-14   19964
  1.966957e-01   2.335578e-12   3.066093e-03   1.572473e-14   22354
  2.072851e-01   2.003257e-12   3.030819e-03   1.272657e-14   24648
  2.179134e-01   1.751848e-12   3.083109e-03   1.042415e-14   27592
  2.285517e-01   1.563512e-12   3.075318e-03   9.065230e-15   30152
  2.391687e-01   1.387870e-12   3.069056e-03   7.742040e-15   33046
  2.497808e-01   1.260873e-12   3.053846e-03   6.655796e-15   35992
  2.604233e-01   1.146550e-12   3.074764e-03   5.830585e-15   39304
  2.710722e-01   1.038831e-12   3.082145e-03   5.021695e-15   42608
  2.817050e-01   9.390214e-13   3.058267e-03   4.393793e-15   45758
  2.923349e-01   8.461523e-13   3.072286e-03   3.834759e-15   49536
  3.029238e-01   7.766095e-13   3.039208e-03   3.383787e-15   52488
  3.135134e-01   7.249164e-13   3.084628e-03   3.032689e-15   57034
  3.241511e-01   6.519944e-13   3.061146e-03   2.638722e-15   60648
  3.347969e-01   6.128069e-13   3.076329e-03   2.407203e-15   65044
  3.454223e-01   5.681581e-13   3.057760e-03   2.152443e-15   68720
  3.560505e-01   5.228748e-13   3.078281e-03   1.924486e-15   73538
  3.667175e-01   4.860364e-13   3.076939e-03   1.738558e-15   78080
  3.773260e-01   4.571099e-13   3.039859e-03   1.603418e-15   81572
  3.879192e-01   4.279630e-13   3.081238e-03   1.460633e-15   87248
  3.985882e-01   3.987784e-13   3.084591e-03   1.310001e-15   92266
  4.092322e-01   3.756482e-13   3.063169e-03   1.213896e-15   96696
  4.198039e-01   3.503800e-13   3.037602e-03   1.114283e-15   100904
  4.303789e-01   3.326009e-13   3.065517e-03   1.014292e-15   107036
  4.410480e-01   3.138241e-13   3.089487e-03   9.317757e-16   113362
  4.517307e-01   2.960721e-13   3.072092e-03   8.559893e-16   118176
  4.623378e-01   2.803926e-13   3.054661e-03   8.034356e-16   122944
  4.729644e-01   2.659077e-13   3.083007e-03   7.448880e-16   129902
  4.836049e-01   2.520563e-13   3.061727e-03   6.837410e-16   134944
  4.942158e-01   2.401176e-13   3.064979e-03   6.412966e-16   140952
  5.048213e-01   2.279437e-13   3.064662e-03   5.965742e-16   147072
  5.154342e-01   2.170414e-13   3.060800e-03   5.548288e-16   153382
  5.260893e-01   2.073467e-13   3.082622e-03   5.147201e-16   160952
  5.367508e-01   1.960486e-13   3.070294e-03   4.822601e-16   166640
  5.473579e-01   1.895044e-13   3.057153e-03   4.563992e-16   172448
  5.579787e-01   1.800814e-13   3.077577e-03   4.281257e-16   180594
  5.686178e-01   1.732055e-13   3.060710e-03   4.011811e-16   186556
  5.792219e-01   1.652601e-13   3.063394e-03   3.749213e-16   193528
  5.898242e-01   1.590430e-13   3.060684e-03   3.540274e-16   200626
  6.004609e-01   1.520249e-13   3.076604e-03   3.329409e-16   209256
  6.111150e-01   1.462630e-13   3.069663e-03   3.156853e-16   216020
  6.217510e-01   1.416372e-13   3.075746e-03   2.990990e-16   223768
  6.323610e-01   1.357556e-13   3.055783e-03   2.833287e-16   230234
  6.429887e-01   1.311986e-13   3.074922e-03   2.670083e-16   239800
  6.536248e-01   1.258893e-13   3.063054e-03   2.535187e-16   246568
  6.642393e-01   1.222142e-13   3.068328e-03   2.421615e-16   254828
  6.748534e-01   1.168496e-13   3.064424e-03   2.275400e-16   263074
  6.854951e-01   1.131505e-13   3.071509e-03   2.167941e-16   272312
  6.961385e-01   1.095390e-13   3.070197e-03   2.059528e-16   280376
  7.067732e-01   1.059892e-13   3.071500e-03   1.972190e-16   288884
  7.174012e-01   1.022140e-13   3.068501e-03   1.868335e-16   297602
  7.280177e-01   9.938149e-14   3.057614e-03   1.792487e-16   305520
  7.386402e-01   9.602279e-14   3.075198e-03   1.707124e-16   315976
  7.492461e-01   9.272819e-14   3.052723e-03   1.631233e-16   322778
  7.598720e-01   9.028275e-14   3.080021e-03   1.556735e-16   335372
  7.705286e-01   8.715177e-14   3.068318e-03   1.489910e-16   343464
  7.811635e-01   8.466548e-14   3.070705e-03   1.430047e-16   352912
  7.917934e-01   8.224444e-14   3.070498e-03   1.366377e-16   362666
  8.024224e-01   7.950153e-14   3.063690e-03   1.308799e-16   371884
  8.130465e-01   7.768227e-14   3.069929e-03   1.254160e-16   382280
  8.236583e-01   7.554212e-14   3.060755e-03   1.210101e-16   390888
  8.342648e-01   7.349225e-14   3.067168e-03   1.158790e-16   402234
  8.448912e-01   7.146513e-14   3.064832e-03   1.112949e-16   412576
  8.555263e-01   6.921034e-14   3.071788e-03   1.063928e-16   423732
  8.661590e-01   6.744521e-14   3.068142e-03   1.023262e-16   433624
  8.767950e-01   6.575564e-14   3.072203e-03   9.866607e-17   445154
  8.874347e-01   6.415141e-14   3.069139e-03   9.523057e-17   455584
  8.980596e-01   6.220597e-14   3.064716e-03   9.105791e-17   465588
  9.086714e-01   6.066118e-14   3.065163e-03   8.785939e-17   476762
  9.193048e-01   5.924653e-14   3.073106e-03   8.465584e-17   489552
  9.299472e-01   5.773110e-14   3.069632e-03   8.160791e-17   500328
  9.405628e-01   5.639944e-14   3.059261e-03   7.909021e-17   509852
  9.511854e-01   5.499605e-14   3.074339e-03   7.604470e-17   524234
  9.618189e-01   5.367952e-14   3.061952e-03   7.330003e-17   534104
  9.724448e-01   5.243049e-14   3.070528e-03   7.100192e-17   547048
  9.830800e-01   5.118168e-14   3.073862e-03   6.841595e-17   559328
  9.937180e-01   5.000342e-14   3.070866e-03   6.626170e-17   571326
  1.004339e+00   4.868108e-14   3.060367e-03   6.401096e-17   581920
  1.014951e+00   4.773696e-14   3.064588e-03   6.191996e-17   594832
  1.025571e+00   4.639838e-14   3.068054e-03   5.955947e-17   608048
  1.036206e+00   4.575306e-14   3.070252e-03   5.816845e-17   621526
  1.046839e+00   4.467378e-14   3.066112e-03   5.625025e-17   633240
  1.057456e+00   4.361207e-14   3.064953e-03   5.433897e-17   645472
  1.068086e+00   4.258231e-14   3.075342e-03   5.233597e-17   660906
  1.078726e+00   4.163724e-14   3.067576e-03   5.079610e-17   672856
  1.089356e+00   4.078064e-14   3.067094e-03   4.932834e-17   685980
  1.099980e+00   3.995857e-14   3.067978e-03   4.777377e-17   699256
  1.110619e+00   3.898771e-14   3.074976e-03   4.614258e-17   714730
  1.121246e+00   3.827133e-14   3.059348e-03   4.510306e-17   725152
  1.131863e+00   3.750696e-14   3.067634e-03   4.351487e-17   740420
  1.142485e+00   3.674572e-14   3.069089e-03   4.243892e-17   754312
  1.153114e+00   3.599770e-14   3.069897e-03   4.104087e-17   769114
  1.163749e+00   3.520753e-14   3.069209e-03   3.967529e-17   783488
  1.174365e+00   3.454440e-14   3.058900e-03   3.881834e-17   794968
  1.184981e+00   3.383349e-14   3.070107e-03   3.758943e-17   812366
  1.195609e+00   3.314010e-14   3.065134e-03   3.641469e-17   825976
  1.206250e+00   3.249178e-14   3.075220e-03   3.540897e-17   843352
  1.216898e+00   3.182938e-14   3.073224e-03   3.432065e-17   857280
  1.227524e+00   3.131880e-14   3.063189e-03   3.361818e-17   869542
  1.238147e+00   3.067230e-14   3.070752e-03   3.257027e-17   887128
  1.248772e+00   3.019985e-14   3.063166e-03   3.183368e-17   900032
  1.259388e+00   2.947764e-14   3.067377e-03   3.084865e-17   916560
  1.270005e+00   2.895162e-14   3.061783e-03   2.983988e-17   930922
  1.280635e+00   2.844851e-14   3.071795e-03   2.921606e-17   949844
  1.291287e+00   2.794512e-14   3.076939e-03   2.840801e-17   966736
  1.301925e+00   2.740164e-14   3.065819e-03   2.772379e-17   978776
  1.312537e+00   2.691588e-14   3.064137e-03   2.706960e-17   994522
  1.323161e+00   2.634651e-14   3.068907e-03   2.616323e-17   1012420
  1.333794e+00   2.594576e-14   3.071598e-03   2.561761e-17   1029408
  1.344410e+00   2.549326e-14   3.058405e-03   2.496046e-17   1041658
  1.355032e+00   2.499259e-14   3.072381e-03   2.422120e-17   1063520
  1.365659e+00   2.460878e-14   3.060689e-03   2.372429e-17   1075808
  1.376294e+00   2.414998e-14   3.080019e-03   2.308241e-17   1098956
  1.386928e+00   2.375066e-14   3.061670e-03   2.254704e-17   1109810
  1.397545e+00   2.330978e-14   3.065288e-03   2.192565e-17   1128608
  1.408178e+00   2.289878e-14   3.073589e-03   2.138488e-17   1148264
  1.418813e+00   2.248172e-14   3.067917e-03   2.085400e-17   1163252
  1.429436e+00   2.214906e-14   3.067070e-03   2.035348e-17   1181042
  1.440060e+00   2.174480e-14   3.064325e-03   1.987282e-17   1197848
  1.450692e+00   2.138767e-14   3.073737e-03   1.937754e-17   1218848
  1.461323e+00   2.101207e-14   3.064859e-03   1.893802e-17   1232916
  1.471945e+00   2.070691e-14   3.068844e-03   1.851423e-17   1253002
  1.482566e+00   2.032343e-14   3.062284e-03   1.807848e-17   1268576
  1.493191e+00   1.997580e-14   3.071552e-03   1.758043e-17   1290128
  1.503822e+00   1.964788e-14   3.068342e-03   1.717869e-17   1307402
  1.514455e+00   1.933960e-14   3.069122e-03   1.680444e-17   1327028
  1.525083e+00   1.901681e-14   3.064970e-03   1.641489e-17   1343648
  1.535711e+00   1.868793e-14   3.070217e-03   1.599990e-17   1364096
  1.546341e+00   1.843239e-14   3.068950e-03   1.569825e-17   1382730
  1.556974e+00   1.810285e-14   3.068757e-03   1.531848e-17   1402164
  1.567604e+00   1.780403e-14   3.068159e-03   1.496765e-17   1420464
  1.578221e+00   1.751983e-14   3.063798e-03   1.463787e-17   1437368
  1.588847e+00   1.723878e-14   3.072142e-03   1.430044e-17   1461530
  1.599480e+00   1.698499e-14   3.065069e-03   1.398163e-17   1478264
  1.610108e+00   1.668791e-14   3.068902e-03   1.361830e-17   1499356
  1.620732e+00   1.643852e-14   3.065238e-03   1.336246e-17   1517016
  1.631360e+00   1.617484e-14   3.070849e-03   1.303788e-17   1540090
  1.641988e+00   1.586305e-14   3.065366e-03   1.271806e-17   1557360
  1.652609e+00   1.571713e-14   3.066926e-03   1.253912e-17   1577780
  1.663242e+00   1.542052e-14   3.075107e-03   1.220373e-17   1602578
  1.673875e+00   1.517784e-14   3.063542e-03   1.191549e-17   1617672
  1.684498e+00   1.495922e-14   3.069033e-03   1.169193e-17   1641016
  1.695122e+00   1.471284e-14   3.065080e-03   1.142291e-17   1659416
  1.705746e+00   1.447957e-14   3.068431e-03   1.118244e-17   1682670
  1.716382e+00   1.428126e-14   3.070690e-03   1.093666e-17   1705256
  1.727024e+00   1.406323e-14   3.071890e-03   1.071558e-17   1726312
  1.737645e+00   1.386611e-14   3.062639e-03   1.052607e-17   1741880
