# power spectrum of delta
# redshift z=-0.000147
# k              Pk             sigma(k)       sigma(Pk)      count
  7.830312e-03   2.273593e-04   1.198114e-03   4.432262e-05   18
  1.686348e-02   6.256148e-03   2.897918e-03   6.729674e-04   152
  2.725284e-02   2.302145e-02   3.060867e-03   1.069860e-03   416
  3.742835e-02   4.626958e-02   2.912555e-03   1.779944e-03   770
  4.808679e-02   7.698280e-02   3.119650e-03   2.190527e-03   1364
  5.876109e-02   1.154107e-01   3.054550e-03   2.634441e-03   1976
  6.939824e-02   1.688020e-01   3.112555e-03   3.250591e-03   2792
  7.984642e-02   2.176538e-01   2.971805e-03   3.644284e-03   3578
  9.038229e-02   2.565878e-01   3.049521e-03   3.772653e-03   4724
  1.011318e-01   3.045756e-01   3.134595e-03   3.915871e-03   6032
  1.117485e-01   3.522485e-01   3.016599e-03   4.346028e-03   7072
  1.222702e-01   4.335559e-01   3.056387e-03   4.793180e-03   8634
  1.329722e-01   5.103291e-01   3.095256e-03   5.163020e-03   10336
  1.436677e-01   5.765277e-01   3.082009e-03   5.207842e-03   11940
  1.541872e-01   6.295519e-01   3.021465e-03   5.496780e-03   13490
  1.647185e-01   7.109232e-01   3.054444e-03   5.611943e-03   15656
  1.754149e-01   7.783573e-01   3.102608e-03   5.727805e-03   18008
  1.860920e-01   8.665419e-01   3.069464e-03   6.170386e-03   19964
  1.966957e-01   9.592141e-01   3.066093e-03   6.427761e-03   22354
  2.072851e-01   1.024526e+00   3.030819e-03   6.476356e-03   24648
  2.179134e-01   1.110715e+00   3.083109e-03   6.572541e-03   27592
  2.285517e-01   1.229096e+00   3.075318e-03   7.137355e-03   30152
  2.391687e-01   1.315194e+00   3.069056e-03   7.333258e-03   33046
  2.497808e-01   1.423569e+00   3.053846e-03   7.512222e-03   35992
  2.604233e-01   1.546829e+00   3.074764e-03   7.780148e-03   39304
  2.710722e-01   1.636951e+00   3.082145e-03   7.946834e-03   42608
  2.817050e-01   1.765217e+00   3.058267e-03   8.230259e-03   45758
  2.923349e-01   1.869775e+00   3.072286e-03   8.366318e-03   49536
