# power spectrum of delta_N
# redshift z=-0.000147
# k              Pk             sigma(k)       sigma(Pk)      count
  7.830312e-03   2.284763e-04   1.198114e-03   4.451034e-05   18
  1.686348e-02   6.263081e-03   2.897918e-03   6.736183e-04   152
  2.725284e-02   2.303351e-02   3.060867e-03   1.070391e-03   416
  3.742835e-02   4.628453e-02   2.912555e-03   1.780487e-03   770
  4.808679e-02   7.700183e-02   3.119650e-03   2.191069e-03   1364
  5.876109e-02   1.154333e-01   3.054550e-03   2.634979e-03   1976
  6.939824e-02   1.688307e-01   3.112555e-03   3.251145e-03   2792
  7.984642e-02   2.176884e-01   2.971805e-03   3.644835e-03   3578
  9.038229e-02   2.566256e-01   3.049521e-03   3.773225e-03   4724
  1.011318e-01   3.046190e-01   3.134595e-03   3.916413e-03   6032
  1.117485e-01   3.522980e-01   3.016599e-03   4.346644e-03   7072
  1.222702e-01   4.336159e-01   3.056387e-03   4.793845e-03   8634
  1.329722e-01   5.103989e-01   3.095256e-03   5.163741e-03   10336
  1.436677e-01   5.766071e-01   3.082009e-03   5.208552e-03   11940
  1.541872e-01   6.296402e-01   3.021465e-03   5.497542e-03   13490
  1.647185e-01   7.110212e-01   3.054444e-03   5.612710e-03   15656
  1.754149e-01   7.784654e-01   3.102608e-03   5.728601e-03   18008
  1.860920e-01   8.666597e-01   3.069464e-03   6.171240e-03   19964
  1.966957e-01   9.593473e-01   3.066093e-03   6.428647e-03   22354
  2.072851e-01   1.024670e+00   3.030819e-03   6.477288e-03   24648
  2.179134e-01   1.110869e+00   3.083109e-03   6.573458e-03   27592
  2.285517e-01   1.229269e+00   3.075318e-03   7.138371e-03   30152
  2.391687e-01   1.315384e+00   3.069056e-03   7.334305e-03   33046
  2.497808e-01   1.423774e+00   3.053846e-03   7.513290e-03   35992
  2.604233e-01   1.547052e+00   3.074764e-03   7.781269e-03   39304
  2.710722e-01   1.637186e+00   3.082145e-03   7.947978e-03   42608
  2.817050e-01   1.765472e+00   3.058267e-03   8.231456e-03   45758
  2.923349e-01   1.870049e+00   3.072286e-03   8.367546e-03   49536
  3.029238e-01   1.985419e+00   3.039208e-03   8.725158e-03   52488
  3.135134e-01   2.141312e+00   3.084628e-03   8.905951e-03   57034
  3.241511e-01   2.230919e+00   3.061146e-03   8.982083e-03   60648
