# cross spectrum of phi(z1) and phi(z2)
# redshift z=-0.000147
# k              Pk             sigma(k)       sigma(Pk)      count
  7.830312e-03   2.070862e-10   1.198114e-03   4.662477e-11   18
  1.686348e-02   2.447492e-10   2.897918e-03   2.337298e-11   152
  2.725284e-02   1.461521e-10   3.060867e-03   6.839460e-12   416
  3.742835e-02   7.982189e-11   2.912555e-03   2.999035e-12   770
  4.808679e-02   4.976340e-11   3.119650e-03   1.464765e-12   1364
  5.876109e-02   3.269711e-11   3.054550e-03   7.473846e-13   1976
  6.939824e-02   2.468592e-11   3.112555e-03   4.721474e-13   2792
  7.984642e-02   1.798580e-11   2.971805e-03   3.061712e-13   3578
  9.038229e-02   1.280045e-11   3.049521e-03   1.908457e-13   4724
  1.011318e-01   9.504369e-12   3.134595e-03   1.270900e-13   6032
  1.117485e-01   7.324830e-12   3.016599e-03   9.250121e-14   7072
  1.222702e-01   6.170066e-12   3.056387e-03   6.973246e-14   8634
  1.329722e-01   5.153643e-12   3.095256e-03   5.381652e-14   10336
  1.436677e-01   4.176620e-12   3.082009e-03   3.938416e-14   11940
  1.541872e-01   3.353180e-12   3.021465e-03   3.103069e-14   13490
  1.647185e-01   2.807170e-12   3.054444e-03   2.353960e-14   15656
  1.754149e-01   2.338465e-12   3.102608e-03   1.856661e-14   18008
  1.860920e-01   2.027860e-12   3.069464e-03   1.553442e-14   19964
  1.966957e-01   1.752649e-12   3.066093e-03   1.289223e-14   22354
  2.072851e-01   1.473498e-12   3.030819e-03   1.037521e-14   24648
  2.179134e-01   1.264054e-12   3.083109e-03   8.396858e-15   27592
  2.285517e-01   1.110472e-12   3.075318e-03   7.338062e-15   30152
  2.391687e-01   9.656555e-13   3.069056e-03   6.200418e-15   33046
  2.497808e-01   8.592269e-13   3.053846e-03   5.293641e-15   35992
  2.604233e-01   7.643743e-13   3.074764e-03   4.602584e-15   39304
  2.710722e-01   6.735418e-13   3.082145e-03   3.922687e-15   42608
  2.817050e-01   5.971603e-13   3.058267e-03   3.413155e-15   45758
  2.923349e-01   5.219416e-13   3.072286e-03   2.947931e-15   49536
  3.029238e-01   4.674553e-13   3.039208e-03   2.597443e-15   52488
  3.135134e-01   4.245504e-13   3.084628e-03   2.302460e-15   57034
  3.241511e-01   3.700455e-13   3.061146e-03   1.985259e-15   60648
  3.347969e-01   3.403333e-13   3.076329e-03   1.807129e-15   65044
  3.454223e-01   3.051702e-13   3.057760e-03   1.602648e-15   68720
  3.560505e-01   2.728419e-13   3.078281e-03   1.433269e-15   73538
  3.667175e-01   2.466703e-13   3.076939e-03   1.288244e-15   78080
  3.773260e-01   2.254017e-13   3.039859e-03   1.178143e-15   81572
  3.879192e-01   2.019599e-13   3.081238e-03   1.060105e-15   87248
  3.985882e-01   1.802612e-13   3.084591e-03   9.480716e-16   92266
  4.092322e-01   1.656934e-13   3.063169e-03   8.714002e-16   96696
  4.198039e-01   1.485450e-13   3.037602e-03   7.937886e-16   100904
  4.303789e-01   1.364358e-13   3.065517e-03   7.189463e-16   107036
  4.410480e-01   1.238029e-13   3.089487e-03   6.544623e-16   113362
  4.517307e-01   1.123613e-13   3.072092e-03   6.038093e-16   118176
  4.623378e-01   1.021050e-13   3.054661e-03   5.606630e-16   122944
  4.729644e-01   9.279078e-14   3.083007e-03   5.159172e-16   129902
  4.836049e-01   8.464307e-14   3.061727e-03   4.735927e-16   134944
  4.942158e-01   7.747957e-14   3.064979e-03   4.413255e-16   140952
  5.048213e-01   6.976733e-14   3.064662e-03   4.088370e-16   147072
  5.154342e-01   6.378081e-14   3.060800e-03   3.811138e-16   153382
  5.260893e-01   5.795480e-14   3.082622e-03   3.541286e-16   160952
  5.367508e-01   5.247203e-14   3.070294e-03   3.300167e-16   166640
  5.473579e-01   4.913885e-14   3.057153e-03   3.093470e-16   172448
  5.579787e-01   4.418316e-14   3.077577e-03   2.890212e-16   180594
  5.686178e-01   4.084478e-14   3.060710e-03   2.702924e-16   186556
  5.792219e-01   3.709446e-14   3.063394e-03   2.535535e-16   193528
  5.898242e-01   3.343392e-14   3.060684e-03   2.388122e-16   200626
  6.004609e-01   3.075026e-14   3.076604e-03   2.223773e-16   209256
  6.111150e-01   2.822201e-14   3.069663e-03   2.109003e-16   216020
  6.217510e-01   2.596179e-14   3.075746e-03   1.998205e-16   223768
  6.323610e-01   2.348954e-14   3.055783e-03   1.882128e-16   230234
  6.429887e-01   2.167648e-14   3.074922e-03   1.769913e-16   239800
  6.536248e-01   1.960053e-14   3.063054e-03   1.679302e-16   246568
  6.642393e-01   1.849786e-14   3.068328e-03   1.605794e-16   254828
  6.748534e-01   1.649914e-14   3.064424e-03   1.512940e-16   263074
  6.854951e-01   1.507471e-14   3.071509e-03   1.434486e-16   272312
  6.961385e-01   1.388623e-14   3.070197e-03   1.366139e-16   280376
  7.067732e-01   1.275241e-14   3.071500e-03   1.302007e-16   288884
  7.174012e-01   1.134868e-14   3.068501e-03   1.229377e-16   297602
  7.280177e-01   1.071178e-14   3.057614e-03   1.183435e-16   305520
  7.386402e-01   9.914682e-15   3.075198e-03   1.122725e-16   315976
  7.492461e-01   8.729876e-15   3.052723e-03   1.080630e-16   322778
  7.598720e-01   8.084666e-15   3.080021e-03   1.024909e-16   335372
  7.705286e-01   7.540685e-15   3.068318e-03   9.735660e-17   343464
  7.811635e-01   6.929857e-15   3.070705e-03   9.339484e-17   352912
  7.917934e-01   6.321669e-15   3.070498e-03   8.945304e-17   362666
  8.024224e-01   5.799436e-15   3.063690e-03   8.585054e-17   371884
  8.130465e-01   5.372713e-15   3.069929e-03   8.196361e-17   382280
  8.236583e-01   4.858583e-15   3.060755e-03   7.869582e-17   390888
  8.342648e-01   4.538114e-15   3.067168e-03   7.562062e-17   402234
  8.448912e-01   3.917643e-15   3.064832e-03   7.258004e-17   412576
  8.555263e-01   3.756123e-15   3.071788e-03   6.945508e-17   423732
  8.661590e-01   3.393188e-15   3.068142e-03   6.689190e-17   433624
  8.767950e-01   3.155079e-15   3.072203e-03   6.398766e-17   445154
  8.874347e-01   2.965319e-15   3.069139e-03   6.172023e-17   455584
  8.980596e-01   2.686574e-15   3.064716e-03   5.942959e-17   465588
  9.086714e-01   2.545204e-15   3.065163e-03   5.714062e-17   476762
  9.193048e-01   2.359881e-15   3.073106e-03   5.501226e-17   489552
  9.299472e-01   2.165499e-15   3.069632e-03   5.308191e-17   500328
  9.405628e-01   1.899158e-15   3.059261e-03   5.125966e-17   509852
  9.511854e-01   1.766732e-15   3.074339e-03   4.909209e-17   524234
  9.618189e-01   1.627975e-15   3.061952e-03   4.749663e-17   534104
  9.724448e-01   1.474931e-15   3.070528e-03   4.569711e-17   547048
  9.830800e-01   1.330086e-15   3.073862e-03   4.410925e-17   559328
  9.937180e-01   1.332005e-15   3.070866e-03   4.264323e-17   571326
  1.004339e+00   1.205290e-15   3.060367e-03   4.141139e-17   581920
  1.014951e+00   1.100496e-15   3.064588e-03   3.983954e-17   594832
  1.025571e+00   9.625612e-16   3.068054e-03   3.846608e-17   608048
  1.036206e+00   9.486967e-16   3.070252e-03   3.719204e-17   621526
  1.046839e+00   9.151275e-16   3.066112e-03   3.602306e-17   633240
  1.057456e+00   7.470356e-16   3.064953e-03   3.470755e-17   645472
  1.068086e+00   8.099701e-16   3.075342e-03   3.375409e-17   660906
  1.078726e+00   7.589090e-16   3.067576e-03   3.251297e-17   672856
  1.089356e+00   6.523690e-16   3.067094e-03   3.150298e-17   685980
  1.099980e+00   5.958334e-16   3.067978e-03   3.060131e-17   699256
  1.110619e+00   5.443592e-16   3.074976e-03   2.956385e-17   714730
  1.121246e+00   5.821308e-16   3.059348e-03   2.870529e-17   725152
  1.131863e+00   5.417171e-16   3.067634e-03   2.777219e-17   740420
  1.142485e+00   4.482720e-16   3.069089e-03   2.693664e-17   754312
  1.153114e+00   4.254819e-16   3.069897e-03   2.606748e-17   769114
  1.163749e+00   4.712540e-16   3.069209e-03   2.532603e-17   783488
  1.174365e+00   4.099721e-16   3.058900e-03   2.457684e-17   794968
  1.184981e+00   3.575478e-16   3.070107e-03   2.380725e-17   812366
  1.195609e+00   2.993789e-16   3.065134e-03   2.322837e-17   825976
  1.206250e+00   3.268191e-16   3.075220e-03   2.246275e-17   843352
  1.216898e+00   3.306949e-16   3.073224e-03   2.184528e-17   857280
  1.227524e+00   3.388577e-16   3.063189e-03   2.126855e-17   869542
  1.238147e+00   2.478912e-16   3.070752e-03   2.056751e-17   887128
  1.248772e+00   2.788396e-16   3.063166e-03   2.008154e-17   900032
  1.259388e+00   2.697383e-16   3.067377e-03   1.946626e-17   916560
  1.270005e+00   2.365174e-16   3.061783e-03   1.891715e-17   930922
  1.280635e+00   2.454253e-16   3.071795e-03   1.834135e-17   949844
  1.291287e+00   2.374717e-16   3.076939e-03   1.785210e-17   966736
  1.301925e+00   1.869284e-16   3.065819e-03   1.743329e-17   978776
  1.312537e+00   2.262175e-16   3.064137e-03   1.694269e-17   994522
  1.323161e+00   2.083811e-16   3.068907e-03   1.646879e-17   1012420
  1.333794e+00   1.728470e-16   3.071598e-03   1.602297e-17   1029408
  1.344410e+00   1.571257e-16   3.058405e-03   1.561805e-17   1041658
  1.355032e+00   2.042662e-16   3.072381e-03   1.517577e-17   1063520
  1.365659e+00   1.747929e-16   3.060689e-03   1.482489e-17   1075808
  1.376294e+00   1.490487e-16   3.080019e-03   1.438753e-17   1098956
  1.386928e+00   1.671110e-16   3.061670e-03   1.405815e-17   1109810
  1.397545e+00   1.382302e-16   3.065288e-03   1.370579e-17   1128608
  1.408178e+00   1.229033e-16   3.073589e-03   1.333165e-17   1148264
  1.418813e+00   1.442032e-16   3.067917e-03   1.299401e-17   1163252
  1.429436e+00   1.295776e-16   3.067070e-03   1.263124e-17   1181042
  1.440060e+00   1.579434e-16   3.064325e-03   1.232091e-17   1197848
  1.450692e+00   1.129366e-16   3.073737e-03   1.202370e-17   1218848
  1.461323e+00   1.302480e-16   3.064859e-03   1.171962e-17   1232916
  1.471945e+00   1.068552e-16   3.068844e-03   1.144490e-17   1253002
  1.482566e+00   1.241938e-16   3.062284e-03   1.113493e-17   1268576
  1.493191e+00   1.076373e-16   3.071552e-03   1.090218e-17   1290128
  1.503822e+00   1.024211e-16   3.068342e-03   1.062096e-17   1307402
  1.514455e+00   1.267849e-16   3.069122e-03   1.036249e-17   1327028
  1.525083e+00   1.041865e-16   3.064970e-03   1.014533e-17   1343648
  1.535711e+00   1.044315e-16   3.070217e-03   9.865554e-18   1364096
  1.546341e+00   9.360927e-17   3.068950e-03   9.652268e-18   1382730
  1.556974e+00   6.456452e-17   3.068757e-03   9.407383e-18   1402164
  1.567604e+00   1.161334e-16   3.068159e-03   9.184131e-18   1420464
  1.578221e+00   6.947123e-17   3.063798e-03   8.969486e-18   1437368
  1.588847e+00   5.833901e-17   3.072142e-03   8.760978e-18   1461530
