# background statistics
# cycle   tau/boxsize    a             conformal H/H0  phi(k=0)       T00(k=0)
      0   3.514781e+00   9.900990e-03   5.696651e+00   0.000000e+00   3.120460e-01
      1   3.553843e+00   1.009000e-02   5.641521e+00   1.246286e-10   3.120460e-01
      2   3.592906e+00   1.028074e-02   5.587474e+00   2.449110e-10   3.120460e-01
      3   3.631968e+00   1.047322e-02   5.534479e+00   3.605644e-10   3.120460e-01
      4   3.671031e+00   1.066743e-02   5.482505e+00   4.719011e-10   3.120460e-01
      5   3.710093e+00   1.086338e-02   5.431521e+00   5.792099e-10   3.120460e-01
      6   3.749156e+00   1.106107e-02   5.381499e+00   6.827588e-10   3.120460e-01
      7   3.788218e+00   1.126049e-02   5.332412e+00   7.827966e-10   3.120460e-01
      8   3.827281e+00   1.146165e-02   5.284232e+00   8.795547e-10   3.120460e-01
      9   3.866343e+00   1.166454e-02   5.236935e+00   9.732484e-10   3.120460e-01
     10   3.905406e+00   1.186917e-02   5.190496e+00   1.064078e-09   3.120460e-01
     11   3.944468e+00   1.207554e-02   5.144892e+00   1.152231e-09   3.120460e-01
     12   3.983531e+00   1.228364e-02   5.100099e+00   1.237880e-09   3.120460e-01
     13   4.022593e+00   1.249348e-02   5.056096e+00   1.321190e-09   3.120460e-01
     14   4.061656e+00   1.270506e-02   5.012861e+00   1.402310e-09   3.120460e-01
     15   4.100718e+00   1.291837e-02   4.970375e+00   1.481384e-09   3.120460e-01
     16   4.139781e+00   1.313341e-02   4.928618e+00   1.558543e-09   3.120460e-01
     17   4.178843e+00   1.335020e-02   4.887571e+00   1.633912e-09   3.120460e-01
     18   4.217906e+00   1.356872e-02   4.847215e+00   1.707606e-09   3.120460e-01
     19   4.256968e+00   1.378897e-02   4.807533e+00   1.779734e-09   3.120460e-01
     20   4.296031e+00   1.401096e-02   4.768508e+00   1.850398e-09   3.120460e-01
     21   4.335093e+00   1.423469e-02   4.730123e+00   1.919693e-09   3.120460e-01
     22   4.374156e+00   1.446015e-02   4.692363e+00   1.987709e-09   3.120460e-01
     23   4.413218e+00   1.468735e-02   4.655212e+00   2.054529e-09   3.120460e-01
     24   4.452281e+00   1.491628e-02   4.618656e+00   2.120231e-09   3.120460e-01
     25   4.491343e+00   1.514696e-02   4.582679e+00   2.184891e-09   3.120460e-01
     26   4.530406e+00   1.537936e-02   4.547268e+00   2.248577e-09   3.120460e-01
     27   4.569468e+00   1.561351e-02   4.512410e+00   2.311355e-09   3.120460e-01
     28   4.608531e+00   1.584938e-02   4.478092e+00   2.373287e-09   3.120460e-01
     29   4.647593e+00   1.608700e-02   4.444300e+00   2.434429e-09   3.120460e-01
     30   4.686656e+00   1.632635e-02   4.411023e+00   2.494837e-09   3.120460e-01
     31   4.725718e+00   1.656744e-02   4.378249e+00   2.554562e-09   3.120460e-01
     32   4.764781e+00   1.681026e-02   4.345966e+00   2.613651e-09   3.120460e-01
     33   4.803843e+00   1.705482e-02   4.314163e+00   2.672151e-09   3.120460e-01
     34   4.842906e+00   1.730112e-02   4.282830e+00   2.730105e-09   3.120460e-01
     35   4.881968e+00   1.754915e-02   4.251956e+00   2.787553e-09   3.120460e-01
     36   4.921031e+00   1.779892e-02   4.221531e+00   2.844533e-09   3.120460e-01
     37   4.960093e+00   1.805042e-02   4.191544e+00   2.901082e-09   3.120460e-01
     38   4.999156e+00   1.830366e-02   4.161987e+00   2.957233e-09   3.120460e-01
     39   5.038218e+00   1.855863e-02   4.132850e+00   3.013019e-09   3.120460e-01
     40   5.077281e+00   1.881535e-02   4.104125e+00   3.068471e-09   3.120460e-01
     41   5.116343e+00   1.907379e-02   4.075801e+00   3.123616e-09   3.120460e-01
     42   5.155406e+00   1.933398e-02   4.047872e+00   3.178484e-09   3.120460e-01
     43   5.194468e+00   1.959590e-02   4.020328e+00   3.233098e-09   3.120460e-01
     44   5.233531e+00   1.985955e-02   3.993161e+00   3.287484e-09   3.120460e-01
     45   5.272593e+00   2.012495e-02   3.966365e+00   3.341665e-09   3.120460e-01
     46   5.311656e+00   2.039208e-02   3.939930e+00   3.395663e-09   3.120460e-01
     47   5.350718e+00   2.066094e-02   3.913850e+00   3.449499e-09   3.120460e-01
     48   5.389781e+00   2.093154e-02   3.888118e+00   3.503192e-09   3.120460e-01
     49   5.428843e+00   2.120388e-02   3.862727e+00   3.556762e-09   3.120460e-01
     50   5.467906e+00   2.147795e-02   3.837669e+00   3.610225e-09   3.120460e-01
     51   5.506968e+00   2.175376e-02   3.812939e+00   3.663599e-09   3.120460e-01
     52   5.546031e+00   2.203131e-02   3.788529e+00   3.716900e-09   3.120460e-01
     53   5.585093e+00   2.231059e-02   3.764434e+00   3.770143e-09   3.120460e-01
     54   5.624156e+00   2.259160e-02   3.740647e+00   3.823343e-09   3.120460e-01
     55   5.663218e+00   2.287436e-02   3.717162e+00   3.876513e-09   3.120460e-01
     56   5.702281e+00   2.315885e-02   3.693975e+00   3.929666e-09   3.120460e-01
     57   5.741343e+00   2.344507e-02   3.671078e+00   3.982815e-09   3.120460e-01
     58   5.780406e+00   2.373304e-02   3.648466e+00   4.035972e-09   3.120460e-01
     59   5.819468e+00   2.402274e-02   3.626135e+00   4.089147e-09   3.120459e-01
     60   5.858531e+00   2.431417e-02   3.604079e+00   4.142352e-09   3.120459e-01
     61   5.897593e+00   2.460734e-02   3.582292e+00   4.195597e-09   3.120459e-01
     62   5.936656e+00   2.490225e-02   3.560771e+00   4.248892e-09   3.120459e-01
     63   5.975718e+00   2.519889e-02   3.539509e+00   4.302245e-09   3.120459e-01
     64   6.014781e+00   2.549727e-02   3.518503e+00   4.355666e-09   3.120459e-01
     65   6.053843e+00   2.579739e-02   3.497747e+00   4.409163e-09   3.120459e-01
     66   6.092906e+00   2.609924e-02   3.477237e+00   4.462744e-09   3.120459e-01
     67   6.131968e+00   2.640283e-02   3.456970e+00   4.516417e-09   3.120459e-01
     68   6.171031e+00   2.670815e-02   3.436939e+00   4.570189e-09   3.120459e-01
     69   6.210093e+00   2.701521e-02   3.417142e+00   4.624067e-09   3.120459e-01
     70   6.249156e+00   2.732401e-02   3.397574e+00   4.678057e-09   3.120459e-01
     71   6.288218e+00   2.763454e-02   3.378231e+00   4.732166e-09   3.120459e-01
     72   6.327281e+00   2.794681e-02   3.359110e+00   4.786401e-09   3.120459e-01
     73   6.366343e+00   2.826082e-02   3.340206e+00   4.840766e-09   3.120459e-01
     74   6.405406e+00   2.857656e-02   3.321516e+00   4.895268e-09   3.120459e-01
     75   6.444468e+00   2.889404e-02   3.303035e+00   4.949912e-09   3.120459e-01
     76   6.483531e+00   2.921326e-02   3.284762e+00   5.004703e-09   3.120459e-01
     77   6.522593e+00   2.953421e-02   3.266691e+00   5.059645e-09   3.120459e-01
     78   6.561656e+00   2.985690e-02   3.248821e+00   5.114744e-09   3.120459e-01
     79   6.600718e+00   3.018132e-02   3.231146e+00   5.170004e-09   3.120459e-01
     80   6.639781e+00   3.050748e-02   3.213665e+00   5.225429e-09   3.120459e-01
     81   6.678843e+00   3.083538e-02   3.196374e+00   5.281024e-09   3.120459e-01
     82   6.717906e+00   3.116501e-02   3.179269e+00   5.336792e-09   3.120459e-01
     83   6.756968e+00   3.149638e-02   3.162349e+00   5.392737e-09   3.120459e-01
     84   6.796031e+00   3.182949e-02   3.145609e+00   5.448863e-09   3.120459e-01
     85   6.835093e+00   3.216433e-02   3.129047e+00   5.505172e-09   3.120459e-01
     86   6.874156e+00   3.250091e-02   3.112661e+00   5.561669e-09   3.120459e-01
     87   6.913218e+00   3.283923e-02   3.096446e+00   5.618357e-09   3.120459e-01
     88   6.952281e+00   3.317928e-02   3.080402e+00   5.675238e-09   3.120459e-01
     89   6.991343e+00   3.352107e-02   3.064524e+00   5.732316e-09   3.120459e-01
     90   7.030406e+00   3.386460e-02   3.048810e+00   5.789593e-09   3.120459e-01
     91   7.069468e+00   3.420986e-02   3.033259e+00   5.847073e-09   3.120459e-01
     92   7.108531e+00   3.455686e-02   3.017866e+00   5.904757e-09   3.120459e-01
     93   7.147593e+00   3.490559e-02   3.002631e+00   5.962649e-09   3.120459e-01
     94   7.186656e+00   3.525606e-02   2.987549e+00   6.020750e-09   3.120459e-01
     95   7.225718e+00   3.560827e-02   2.972620e+00   6.079063e-09   3.120459e-01
     96   7.264781e+00   3.596222e-02   2.957841e+00   6.137590e-09   3.120459e-01
     97   7.303843e+00   3.631790e-02   2.943209e+00   6.196333e-09   3.120459e-01
     98   7.342906e+00   3.667532e-02   2.928723e+00   6.255295e-09   3.120459e-01
     99   7.381968e+00   3.703448e-02   2.914379e+00   6.314477e-09   3.120459e-01
    100   7.421031e+00   3.739537e-02   2.900177e+00   6.373881e-09   3.120459e-01
    101   7.460093e+00   3.775800e-02   2.886113e+00   6.433509e-09   3.120459e-01
    102   7.499156e+00   3.812236e-02   2.872187e+00   6.493363e-09   3.120459e-01
    103   7.538218e+00   3.848847e-02   2.858395e+00   6.553444e-09   3.120459e-01
    104   7.577281e+00   3.885631e-02   2.844736e+00   6.613754e-09   3.120459e-01
    105   7.616343e+00   3.922588e-02   2.831208e+00   6.674295e-09   3.120459e-01
    106   7.655406e+00   3.959720e-02   2.817810e+00   6.735068e-09   3.120459e-01
    107   7.694468e+00   3.997025e-02   2.804538e+00   6.796075e-09   3.120459e-01
    108   7.733531e+00   4.034503e-02   2.791393e+00   6.857316e-09   3.120459e-01
    109   7.772593e+00   4.072156e-02   2.778370e+00   6.918794e-09   3.120459e-01
    110   7.811656e+00   4.109982e-02   2.765470e+00   6.980509e-09   3.120459e-01
    111   7.850718e+00   4.147982e-02   2.752690e+00   7.042464e-09   3.120459e-01
    112   7.889781e+00   4.186155e-02   2.740028e+00   7.104658e-09   3.120459e-01
    113   7.928843e+00   4.224503e-02   2.727484e+00   7.167094e-09   3.120459e-01
    114   7.967906e+00   4.263024e-02   2.715054e+00   7.229772e-09   3.120459e-01
    115   8.006968e+00   4.301718e-02   2.702739e+00   7.292694e-09   3.120458e-01
    116   8.046031e+00   4.340587e-02   2.690535e+00   7.355860e-09   3.120458e-01
    117   8.085093e+00   4.379629e-02   2.678442e+00   7.419272e-09   3.120458e-01
    118   8.124156e+00   4.418845e-02   2.666459e+00   7.482931e-09   3.120458e-01
    119   8.163218e+00   4.458234e-02   2.654582e+00   7.546837e-09   3.120458e-01
    120   8.202281e+00   4.497798e-02   2.642812e+00   7.610991e-09   3.120458e-01
    121   8.241343e+00   4.537535e-02   2.631147e+00   7.675395e-09   3.120458e-01
    122   8.280406e+00   4.577446e-02   2.619585e+00   7.740049e-09   3.120458e-01
    123   8.319468e+00   4.617530e-02   2.608125e+00   7.804954e-09   3.120458e-01
    124   8.358531e+00   4.657789e-02   2.596766e+00   7.870111e-09   3.120458e-01
    125   8.397593e+00   4.698221e-02   2.585506e+00   7.935521e-09   3.120458e-01
    126   8.436656e+00   4.738827e-02   2.574344e+00   8.001184e-09   3.120458e-01
    127   8.475718e+00   4.779606e-02   2.563279e+00   8.067102e-09   3.120458e-01
    128   8.514781e+00   4.820560e-02   2.552309e+00   8.133275e-09   3.120458e-01
    129   8.553843e+00   4.861687e-02   2.541433e+00   8.199703e-09   3.120458e-01
    130   8.592906e+00   4.902988e-02   2.530651e+00   8.266388e-09   3.120458e-01
    131   8.631968e+00   4.944462e-02   2.519960e+00   8.333330e-09   3.120458e-01
    132   8.671031e+00   4.986111e-02   2.509360e+00   8.400530e-09   3.120458e-01
    133   8.710093e+00   5.027933e-02   2.498850e+00   8.467989e-09   3.120458e-01
    134   8.749156e+00   5.069929e-02   2.488428e+00   8.535707e-09   3.120458e-01
    135   8.788218e+00   5.112099e-02   2.478093e+00   8.603685e-09   3.120458e-01
    136   8.827281e+00   5.154443e-02   2.467844e+00   8.671923e-09   3.120458e-01
    137   8.866343e+00   5.196960e-02   2.457681e+00   8.740422e-09   3.120458e-01
    138   8.905406e+00   5.239651e-02   2.447601e+00   8.809183e-09   3.120458e-01
    139   8.944468e+00   5.282516e-02   2.437605e+00   8.878206e-09   3.120458e-01
    140   8.983531e+00   5.325555e-02   2.427691e+00   8.947492e-09   3.120458e-01
    141   9.022593e+00   5.368768e-02   2.417857e+00   9.017040e-09   3.120458e-01
    142   9.061656e+00   5.412155e-02   2.408104e+00   9.086853e-09   3.120458e-01
    143   9.100718e+00   5.455715e-02   2.398429e+00   9.156929e-09   3.120458e-01
    144   9.139781e+00   5.499449e-02   2.388833e+00   9.227270e-09   3.120458e-01
    145   9.178843e+00   5.543357e-02   2.379314e+00   9.297877e-09   3.120458e-01
    146   9.217906e+00   5.587439e-02   2.369871e+00   9.368749e-09   3.120458e-01
    147   9.256968e+00   5.631695e-02   2.360503e+00   9.439887e-09   3.120458e-01
    148   9.296031e+00   5.676125e-02   2.351210e+00   9.511292e-09   3.120458e-01
    149   9.335093e+00   5.720729e-02   2.341990e+00   9.582963e-09   3.120458e-01
    150   9.374156e+00   5.765506e-02   2.332843e+00   9.654903e-09   3.120458e-01
    151   9.413218e+00   5.810458e-02   2.323768e+00   9.727110e-09   3.120458e-01
    152   9.452281e+00   5.855583e-02   2.314763e+00   9.799585e-09   3.120458e-01
    153   9.491343e+00   5.900882e-02   2.305829e+00   9.872329e-09   3.120458e-01
    154   9.530406e+00   5.946355e-02   2.296964e+00   9.945343e-09   3.120458e-01
    155   9.569468e+00   5.992002e-02   2.288168e+00   1.001863e-08   3.120458e-01
    156   9.608531e+00   6.037823e-02   2.279439e+00   1.009218e-08   3.120458e-01
    157   9.647593e+00   6.083818e-02   2.270777e+00   1.016600e-08   3.120458e-01
    158   9.686656e+00   6.129987e-02   2.262181e+00   1.024009e-08   3.120458e-01
    159   9.725718e+00   6.176330e-02   2.253651e+00   1.031446e-08   3.120457e-01
    160   9.764781e+00   6.222846e-02   2.245186e+00   1.038909e-08   3.120457e-01
    161   9.803843e+00   6.269537e-02   2.236784e+00   1.046400e-08   3.120457e-01
    162   9.842906e+00   6.316402e-02   2.228446e+00   1.053918e-08   3.120457e-01
    163   9.881968e+00   6.363440e-02   2.220170e+00   1.061463e-08   3.120457e-01
    164   9.921031e+00   6.410653e-02   2.211956e+00   1.069036e-08   3.120457e-01
    165   9.960093e+00   6.458040e-02   2.203803e+00   1.076635e-08   3.120457e-01
    166   9.999156e+00   6.505600e-02   2.195711e+00   1.084262e-08   3.120457e-01
    167   1.003822e+01   6.553335e-02   2.187678e+00   1.091917e-08   3.120457e-01
    168   1.007728e+01   6.601244e-02   2.179705e+00   1.099599e-08   3.120457e-01
    169   1.011634e+01   6.649327e-02   2.171790e+00   1.107308e-08   3.120457e-01
    170   1.015541e+01   6.697583e-02   2.163933e+00   1.115044e-08   3.120457e-01
    171   1.019447e+01   6.746014e-02   2.156133e+00   1.122809e-08   3.120457e-01
    172   1.023353e+01   6.794619e-02   2.148390e+00   1.130600e-08   3.120457e-01
    173   1.027259e+01   6.843398e-02   2.140702e+00   1.138420e-08   3.120457e-01
    174   1.031166e+01   6.892351e-02   2.133071e+00   1.146266e-08   3.120457e-01
    175   1.035072e+01   6.941479e-02   2.125493e+00   1.154141e-08   3.120457e-01
    176   1.038978e+01   6.990780e-02   2.117971e+00   1.162043e-08   3.120457e-01
    177   1.042884e+01   7.040255e-02   2.110501e+00   1.169973e-08   3.120457e-01
    178   1.046791e+01   7.089905e-02   2.103085e+00   1.177931e-08   3.120457e-01
    179   1.050697e+01   7.139729e-02   2.095721e+00   1.185916e-08   3.120457e-01
    180   1.054603e+01   7.189727e-02   2.088410e+00   1.193929e-08   3.120457e-01
    181   1.058509e+01   7.239899e-02   2.081149e+00   1.201971e-08   3.120457e-01
    182   1.062416e+01   7.290245e-02   2.073940e+00   1.210039e-08   3.120457e-01
    183   1.066322e+01   7.340765e-02   2.066781e+00   1.218136e-08   3.120457e-01
    184   1.070228e+01   7.391460e-02   2.059672e+00   1.226261e-08   3.120457e-01
    185   1.074134e+01   7.442329e-02   2.052612e+00   1.234414e-08   3.120457e-01
    186   1.078041e+01   7.493372e-02   2.045601e+00   1.242595e-08   3.120457e-01
    187   1.081947e+01   7.544589e-02   2.038638e+00   1.250803e-08   3.120457e-01
    188   1.085853e+01   7.595981e-02   2.031723e+00   1.259040e-08   3.120457e-01
    189   1.089759e+01   7.647547e-02   2.024855e+00   1.267305e-08   3.120457e-01
    190   1.093666e+01   7.699287e-02   2.018035e+00   1.275598e-08   3.120457e-01
    191   1.097572e+01   7.751201e-02   2.011260e+00   1.283919e-08   3.120457e-01
    192   1.101478e+01   7.803290e-02   2.004532e+00   1.292269e-08   3.120457e-01
    193   1.105384e+01   7.855553e-02   1.997849e+00   1.300646e-08   3.120457e-01
    194   1.109291e+01   7.907990e-02   1.991211e+00   1.309052e-08   3.120457e-01
    195   1.113197e+01   7.960602e-02   1.984617e+00   1.317486e-08   3.120457e-01
    196   1.117103e+01   8.013388e-02   1.978068e+00   1.325949e-08   3.120456e-01
    197   1.121009e+01   8.066349e-02   1.971562e+00   1.334439e-08   3.120456e-01
    198   1.124916e+01   8.119484e-02   1.965099e+00   1.342959e-08   3.120456e-01
    199   1.128822e+01   8.172793e-02   1.958680e+00   1.351506e-08   3.120456e-01
    200   1.132728e+01   8.226277e-02   1.952303e+00   1.360082e-08   3.120456e-01
    201   1.136634e+01   8.279935e-02   1.945967e+00   1.368687e-08   3.120456e-01
    202   1.140541e+01   8.333768e-02   1.939674e+00   1.377320e-08   3.120456e-01
    203   1.144447e+01   8.387775e-02   1.933421e+00   1.385981e-08   3.120456e-01
