# power spectrum of delta_N
# redshift z=2.799967
# k              Pk             sigma(k)       sigma(Pk)      count
  3.132125e-02   1.505346e-03   4.792454e-03   2.796623e-04   18
  6.745391e-02   1.710845e-02   1.159167e-02   1.718177e-03   152
  1.090113e-01   3.944830e-02   1.224347e-02   1.809141e-03   416
  1.497134e-01   6.472668e-02   1.165022e-02   2.425473e-03   770
  1.923472e-01   9.142977e-02   1.247860e-02   2.590584e-03   1364
  2.350444e-01   1.138336e-01   1.221820e-02   2.563704e-03   1976
  2.775930e-01   1.421080e-01   1.245022e-02   2.750871e-03   2792
  3.193857e-01   1.701900e-01   1.188722e-02   2.829925e-03   3578
  3.615292e-01   1.930719e-01   1.219808e-02   2.822005e-03   4724
  4.045273e-01   2.237372e-01   1.253838e-02   2.864361e-03   6032
  4.469941e-01   2.432074e-01   1.206640e-02   3.025764e-03   7072
  4.890810e-01   2.787216e-01   1.222555e-02   3.071312e-03   8634
  5.318886e-01   3.124532e-01   1.238102e-02   3.152552e-03   10336
  5.746708e-01   3.425838e-01   1.232804e-02   3.066716e-03   11940
  6.167490e-01   3.708918e-01   1.208586e-02   3.212337e-03   13490
  6.588740e-01   4.112320e-01   1.221778e-02   3.252950e-03   15656
  7.016595e-01   4.376588e-01   1.241043e-02   3.165615e-03   18008
  7.443680e-01   4.670094e-01   1.227786e-02   3.381215e-03   19964
  7.867827e-01   5.081420e-01   1.226437e-02   3.473788e-03   22354
  8.291404e-01   5.329821e-01   1.212327e-02   3.392838e-03   24648
  8.716536e-01   5.647175e-01   1.233244e-02   3.332422e-03   27592
  9.142068e-01   6.133417e-01   1.230127e-02   3.548466e-03   30152
  9.566749e-01   6.424693e-01   1.227622e-02   3.549424e-03   33046
  9.991233e-01   6.875201e-01   1.221538e-02   3.602316e-03   35992
  1.041693e+00   7.295179e-01   1.229906e-02   3.632521e-03   39304
  1.084289e+00   7.605026e-01   1.232858e-02   3.701583e-03   42608
  1.126820e+00   8.105540e-01   1.223307e-02   3.810483e-03   45758
  1.169340e+00   8.365308e-01   1.228914e-02   3.741681e-03   49536
  1.211695e+00   8.876550e-01   1.215683e-02   3.869150e-03   52488
  1.254054e+00   9.364589e-01   1.233851e-02   3.915861e-03   57034
  1.296605e+00   9.787827e-01   1.224458e-02   3.954858e-03   60648
  1.339187e+00   1.022648e+00   1.230532e-02   3.997442e-03   65044
  1.381689e+00   1.071282e+00   1.223104e-02   4.068055e-03   68720
  1.424202e+00   1.123742e+00   1.231312e-02   4.135986e-03   73538
  1.466870e+00   1.167606e+00   1.230776e-02   4.164128e-03   78080
  1.509304e+00   1.223737e+00   1.215944e-02   4.291177e-03   81572
  1.551677e+00   1.278296e+00   1.232495e-02   4.345676e-03   87248
  1.594353e+00   1.322635e+00   1.233837e-02   4.390531e-03   92266
  1.636929e+00   1.372226e+00   1.225268e-02   4.425308e-03   96696
  1.679216e+00   1.433370e+00   1.215041e-02   4.492768e-03   100904
  1.721516e+00   1.489195e+00   1.226207e-02   4.563012e-03   107036
  1.764192e+00   1.550073e+00   1.235795e-02   4.615937e-03   113362
  1.806923e+00   1.607837e+00   1.228837e-02   4.676227e-03   118176
  1.849351e+00   1.669250e+00   1.221864e-02   4.766800e-03   122944
  1.891857e+00   1.719026e+00   1.233203e-02   4.763842e-03   129902
  1.934420e+00   1.775485e+00   1.224691e-02   4.852010e-03   134944
  1.976863e+00   1.842067e+00   1.225992e-02   4.898883e-03   140952
  2.019285e+00   1.903139e+00   1.225865e-02   4.972587e-03   147072
  2.061737e+00   1.970349e+00   1.224320e-02   5.017057e-03   153382
  2.104357e+00   2.037793e+00   1.233049e-02   5.036527e-03   160952
  2.147003e+00   2.103530e+00   1.228118e-02   5.148214e-03   166640
  2.189431e+00   2.154757e+00   1.222861e-02   5.187047e-03   172448
  2.231915e+00   2.230679e+00   1.231031e-02   5.271908e-03   180594
  2.274471e+00   2.283763e+00   1.224284e-02   5.273421e-03   186556
  2.316888e+00   2.367431e+00   1.225358e-02   5.393908e-03   193528
  2.359297e+00   2.442609e+00   1.224273e-02   5.445834e-03   200626
  2.401844e+00   2.505551e+00   1.230642e-02   5.473613e-03   209256
  2.444460e+00   2.579456e+00   1.227865e-02   5.541097e-03   216020
  2.487004e+00   2.649928e+00   1.230299e-02   5.576463e-03   223768
  2.529444e+00   2.725236e+00   1.222313e-02   5.699287e-03   230234
  2.571955e+00   2.788978e+00   1.229969e-02   5.661069e-03   239800
  2.614499e+00   2.877742e+00   1.225221e-02   5.800157e-03   246568
  2.656957e+00   2.969829e+00   1.227331e-02   5.862991e-03   254828
  2.699414e+00   3.014229e+00   1.225769e-02   5.876240e-03   263074
  2.741981e+00   3.097282e+00   1.228604e-02   5.943522e-03   272312
  2.784554e+00   3.196789e+00   1.228079e-02   6.056569e-03   280376
  2.827093e+00   3.275843e+00   1.228600e-02   6.105236e-03   288884
  2.869605e+00   3.359438e+00   1.227401e-02   6.172019e-03   297602
  2.912071e+00   3.437124e+00   1.223046e-02   6.206877e-03   305520
  2.954561e+00   3.520290e+00   1.230079e-02   6.255131e-03   315976
  2.996984e+00   3.599149e+00   1.221089e-02   6.323161e-03   322778
  3.039488e+00   3.676240e+00   1.232008e-02   6.316331e-03   335372
  3.082114e+00   3.763973e+00   1.227327e-02   6.420586e-03   343464
  3.124654e+00   3.857864e+00   1.228282e-02   6.476033e-03   352912
  3.167174e+00   3.917315e+00   1.228199e-02   6.481172e-03   362666
  3.209689e+00   4.027292e+00   1.225476e-02   6.616248e-03   371884
  3.252186e+00   4.114669e+00   1.227971e-02   6.686618e-03   382280
  3.294633e+00   4.178267e+00   1.224302e-02   6.678182e-03   390888
  3.337059e+00   4.284513e+00   1.226867e-02   6.774748e-03   402234
  3.379565e+00   4.399131e+00   1.225933e-02   6.837860e-03   412576
  3.422105e+00   4.494328e+00   1.228715e-02   6.910199e-03   423732
  3.464636e+00   4.585121e+00   1.227257e-02   6.948439e-03   433624
  3.507180e+00   4.642570e+00   1.228881e-02   6.953541e-03   445154
  3.549739e+00   4.745774e+00   1.227656e-02   7.023028e-03   455584
  3.592238e+00   4.835967e+00   1.225887e-02   7.084492e-03   465588
  3.634685e+00   4.940704e+00   1.226065e-02   7.140189e-03   476762
  3.677219e+00   5.030158e+00   1.229242e-02   7.187630e-03   489552
  3.719789e+00   5.138420e+00   1.227853e-02   7.260141e-03   500328
  3.762251e+00   5.242440e+00   1.223705e-02   7.348222e-03   509852
  3.804741e+00   5.321509e+00   1.229735e-02   7.355640e-03   524234
  3.847275e+00   5.429517e+00   1.224781e-02   7.431868e-03   534104
  3.889779e+00   5.519388e+00   1.228211e-02   7.448952e-03   547048
  3.932320e+00   5.614433e+00   1.229545e-02   7.524199e-03   559328
  3.974872e+00   5.742335e+00   1.228346e-02   7.595594e-03   571326
  4.017355e+00   5.818216e+00   1.224147e-02   7.618223e-03   581920
  4.059804e+00   5.933779e+00   1.225835e-02   7.727167e-03   594832
  4.102282e+00   6.021991e+00   1.227222e-02   7.695606e-03   608048
  4.144825e+00   6.120284e+00   1.228101e-02   7.769212e-03   621526
  4.187356e+00   6.221984e+00   1.226445e-02   7.826525e-03   633240
  4.229822e+00   6.330483e+00   1.225981e-02   7.890750e-03   645472
  4.272346e+00   6.435980e+00   1.230137e-02   7.912118e-03   660906
  4.314903e+00   6.520863e+00   1.227030e-02   7.941473e-03   672856
  4.357425e+00   6.621622e+00   1.226838e-02   8.001028e-03   685980
  4.399921e+00   6.719160e+00   1.227191e-02   8.025574e-03   699256
  4.442476e+00   6.815097e+00   1.229990e-02   8.061749e-03   714730
  4.484986e+00   6.913103e+00   1.223739e-02   8.112344e-03   725152
  4.527452e+00   7.045092e+00   1.227054e-02   8.198631e-03   740420
  4.569941e+00   7.134906e+00   1.227636e-02   8.232213e-03   754312
  4.612456e+00   7.228984e+00   1.227959e-02   8.248887e-03   769114
  4.654996e+00   7.343803e+00   1.227684e-02   8.285715e-03   783488
  4.697459e+00   7.445915e+00   1.223560e-02   8.349269e-03   794968
  4.739925e+00   7.540735e+00   1.228043e-02   8.377203e-03   812366
  4.782438e+00   7.651526e+00   1.226054e-02   8.432985e-03   825976
  4.825000e+00   7.742553e+00   1.230088e-02   8.444089e-03   843352
  4.867591e+00   7.849148e+00   1.229290e-02   8.469701e-03   857280
  4.910094e+00   7.957691e+00   1.225276e-02   8.565063e-03   869542
  4.952587e+00   8.042305e+00   1.228301e-02   8.539192e-03   887128
  4.995087e+00   8.166653e+00   1.225266e-02   8.613953e-03   900032
  5.037553e+00   8.266682e+00   1.226951e-02   8.658142e-03   916560
  5.080018e+00   8.371877e+00   1.224713e-02   8.677569e-03   930922
  5.122540e+00   8.477268e+00   1.228718e-02   8.702781e-03   949844
  5.165149e+00   8.578551e+00   1.230776e-02   8.725473e-03   966736
  5.207698e+00   8.701813e+00   1.226328e-02   8.793496e-03   978776
  5.250149e+00   8.781561e+00   1.225655e-02   8.804528e-03   994522
  5.292642e+00   8.886503e+00   1.227563e-02   8.822087e-03   1012420
  5.335176e+00   9.000660e+00   1.228639e-02   8.882230e-03   1029408
  5.377640e+00   9.096463e+00   1.223362e-02   8.906981e-03   1041658
  5.420127e+00   9.203708e+00   1.228953e-02   8.926255e-03   1063520
  5.462635e+00   9.304273e+00   1.224276e-02   8.936897e-03   1075808
  5.505175e+00   9.400403e+00   1.232008e-02   8.969517e-03   1098956
  5.547712e+00   9.515541e+00   1.224668e-02   9.049497e-03   1109810
  5.590179e+00   9.602735e+00   1.226115e-02   9.034188e-03   1128608
  5.632713e+00   9.731159e+00   1.229436e-02   9.059079e-03   1148264
  5.675250e+00   9.817377e+00   1.227167e-02   9.105996e-03   1163252
  5.717744e+00   9.936643e+00   1.226828e-02   9.160167e-03   1181042
  5.760239e+00   1.002692e+01   1.225730e-02   9.164298e-03   1197848
  5.802769e+00   1.013216e+01   1.229495e-02   9.183745e-03   1218848
  5.845291e+00   1.022054e+01   1.225944e-02   9.216104e-03   1232916
  5.887780e+00   1.031169e+01   1.227538e-02   9.214792e-03   1253002
  5.930266e+00   1.042395e+01   1.224914e-02   9.239114e-03   1268576
  5.972763e+00   1.052798e+01   1.228621e-02   9.258044e-03   1290128
  6.015287e+00   1.064384e+01   1.227337e-02   9.302813e-03   1307402
  6.057820e+00   1.073118e+01   1.227649e-02   9.304146e-03   1327028
  6.100333e+00   1.082972e+01   1.225988e-02   9.330433e-03   1343648
  6.142842e+00   1.093698e+01   1.228087e-02   9.362573e-03   1364096
  6.185363e+00   1.103259e+01   1.227580e-02   9.379585e-03   1382730
  6.227896e+00   1.111226e+01   1.227503e-02   9.388043e-03   1402164
  6.270416e+00   1.124594e+01   1.227264e-02   9.432607e-03   1420464
  6.312883e+00   1.134294e+01   1.225519e-02   9.457455e-03   1437368
  6.355387e+00   1.143056e+01   1.228857e-02   9.456510e-03   1461530
  6.397919e+00   1.154943e+01   1.226028e-02   9.504474e-03   1478264
  6.440432e+00   1.161950e+01   1.227561e-02   9.497670e-03   1499356
  6.482926e+00   1.172067e+01   1.226095e-02   9.516201e-03   1517016
  6.525439e+00   1.183133e+01   1.228340e-02   9.502550e-03   1540090
  6.567953e+00   1.193569e+01   1.226146e-02   9.557411e-03   1557360
  6.610434e+00   1.199760e+01   1.226770e-02   9.533700e-03   1577780
  6.652969e+00   1.212495e+01   1.230043e-02   9.544340e-03   1602578
  6.695499e+00   1.221262e+01   1.225417e-02   9.617123e-03   1617672
  6.737992e+00   1.229830e+01   1.227613e-02   9.609570e-03   1641016
  6.780486e+00   1.237543e+01   1.226032e-02   9.608789e-03   1659416
  6.822983e+00   1.249092e+01   1.227372e-02   9.645158e-03   1682670
  6.865529e+00   1.256346e+01   1.228276e-02   9.617720e-03   1705256
  6.908096e+00   1.262999e+01   1.228756e-02   9.604550e-03   1726312
  6.950582e+00   1.272797e+01   1.225056e-02   9.640669e-03   1741880
  6.993044e+00   1.284620e+01   1.226862e-02   9.675924e-03   1766454
  7.035588e+00   1.294603e+01   1.229242e-02   9.674207e-03   1791784
  7.078111e+00   1.304742e+01   1.225558e-02   9.707038e-03   1807712
  7.120554e+00   1.310190e+01   1.225110e-02   9.693660e-03   1829002
  7.163037e+00   1.320336e+01   1.226905e-02   9.689893e-03   1854216
  7.205602e+00   1.326000e+01   1.229852e-02   9.682918e-03   1880156
  7.248150e+00   1.339301e+01   1.227340e-02   9.710708e-03   1897568
  7.290651e+00   1.346386e+01   1.227390e-02   9.723272e-03   1920458
  7.333153e+00   1.353867e+01   1.226399e-02   9.696974e-03   1942208
  7.375659e+00   1.363753e+01   1.227125e-02   9.729494e-03   1965612
  7.418175e+00   1.373741e+01   1.227855e-02   9.740858e-03   1989000
  7.460671e+00   1.378080e+01   1.225786e-02   9.724563e-03   2009114
  7.503166e+00   1.389151e+01   1.226960e-02   9.706444e-03   2034464
