# power spectrum of delta
# redshift z=2.596867
# k              Pk             sigma(k)       sigma(Pk)      count
  3.132125e-02   1.673553e-03   4.792454e-03   3.109990e-04   18
  6.745391e-02   1.902727e-02   1.159167e-02   1.909377e-03   152
  1.090113e-01   4.392526e-02   1.224347e-02   2.016931e-03   416
  1.497134e-01   7.210452e-02   1.165022e-02   2.701469e-03   770
  1.923472e-01   1.019466e-01   1.247860e-02   2.887278e-03   1364
  2.350444e-01   1.275315e-01   1.221820e-02   2.869169e-03   1976
  2.775930e-01   1.593271e-01   1.245022e-02   3.085739e-03   2792
  3.193857e-01   1.914194e-01   1.188722e-02   3.178993e-03   3578
  3.615292e-01   2.172989e-01   1.219808e-02   3.174685e-03   4724
  4.045273e-01   2.523680e-01   1.253838e-02   3.228062e-03   6032
  4.469941e-01   2.747274e-01   1.206640e-02   3.416561e-03   7072
  4.890810e-01   3.157684e-01   1.222555e-02   3.479743e-03   8634
  5.318886e-01   3.550842e-01   1.238102e-02   3.576973e-03   10336
  5.746708e-01   3.902310e-01   1.232804e-02   3.492413e-03   11940
  6.167490e-01   4.231983e-01   1.208586e-02   3.661572e-03   13490
  6.588740e-01   4.710156e-01   1.221778e-02   3.732652e-03   15656
  7.016595e-01   5.028590e-01   1.241043e-02   3.631427e-03   18008
  7.443680e-01   5.370997e-01   1.227786e-02   3.891464e-03   19964
  7.867827e-01   5.857539e-01   1.226437e-02   4.003612e-03   22354
  8.291404e-01   6.161504e-01   1.212327e-02   3.924805e-03   24648
  8.716536e-01   6.553686e-01   1.233244e-02   3.864967e-03   27592
  9.142068e-01   7.122845e-01   1.230127e-02   4.104717e-03   30152
  9.566749e-01   7.480048e-01   1.227622e-02   4.134771e-03   33046
  9.991233e-01   8.022810e-01   1.221538e-02   4.207120e-03   35992
  1.041693e+00   8.527893e-01   1.229906e-02   4.242356e-03   39304
  1.084289e+00   8.916342e-01   1.232858e-02   4.345021e-03   42608
  1.126820e+00   9.490255e-01   1.223307e-02   4.463297e-03   45758
  1.169340e+00   9.824000e-01   1.228914e-02   4.400962e-03   49536
  1.211695e+00   1.045998e+00   1.215683e-02   4.565365e-03   52488
  1.254054e+00   1.102463e+00   1.233851e-02   4.611002e-03   57034
  1.296605e+00   1.156503e+00   1.224458e-02   4.667116e-03   60648
  1.339187e+00   1.207999e+00   1.230532e-02   4.706914e-03   65044
  1.381689e+00   1.268545e+00   1.223104e-02   4.819062e-03   68720
  1.424202e+00   1.334571e+00   1.231312e-02   4.918272e-03   73538
  1.466870e+00   1.389793e+00   1.230776e-02   4.959904e-03   78080
  1.509304e+00   1.455163e+00   1.215944e-02   5.109251e-03   81572
  1.551677e+00   1.522326e+00   1.232495e-02   5.174013e-03   87248
  1.594353e+00   1.582241e+00   1.233837e-02   5.243917e-03   92266
  1.636929e+00   1.639017e+00   1.225268e-02   5.283345e-03   96696
  1.679216e+00   1.716249e+00   1.215041e-02   5.380851e-03   100904
  1.721516e+00   1.784488e+00   1.226207e-02   5.481081e-03   107036
  1.764192e+00   1.862641e+00   1.235795e-02   5.543277e-03   113362
  1.806923e+00   1.933136e+00   1.228837e-02   5.622232e-03   118176
  1.849351e+00   2.013347e+00   1.221864e-02   5.747542e-03   122944
  1.891857e+00   2.074056e+00   1.233203e-02   5.744878e-03   129902
  1.934420e+00   2.145641e+00   1.224691e-02   5.867157e-03   134944
  1.976863e+00   2.225338e+00   1.225992e-02   5.927203e-03   140952
  2.019285e+00   2.302245e+00   1.225865e-02   6.022901e-03   147072
  2.061737e+00   2.389043e+00   1.224320e-02   6.095830e-03   153382
  2.104357e+00   2.471685e+00   1.233049e-02   6.110303e-03   160952
  2.147003e+00   2.551444e+00   1.228118e-02   6.224752e-03   166640
  2.189431e+00   2.617654e+00   1.222861e-02   6.307539e-03   172448
  2.231915e+00   2.718818e+00   1.231031e-02   6.411996e-03   180594
  2.274471e+00   2.780002e+00   1.224284e-02   6.426631e-03   186556
  2.316888e+00   2.888004e+00   1.225358e-02   6.584065e-03   193528
  2.359297e+00   2.981259e+00   1.224273e-02   6.666117e-03   200626
  2.401844e+00   3.068002e+00   1.230642e-02   6.712683e-03   209256
  2.444460e+00   3.154330e+00   1.227865e-02   6.777059e-03   216020
  2.487004e+00   3.244732e+00   1.230299e-02   6.828992e-03   223768
  2.529444e+00   3.342959e+00   1.222313e-02   6.986524e-03   230234
  2.571955e+00   3.418210e+00   1.229969e-02   6.936026e-03   239800
  2.614499e+00   3.525237e+00   1.225221e-02   7.102401e-03   246568
  2.656957e+00   3.646166e+00   1.227331e-02   7.194440e-03   254828
  2.699414e+00   3.699756e+00   1.225769e-02   7.228035e-03   263074
  2.741981e+00   3.805387e+00   1.228604e-02   7.301460e-03   272312
  2.784554e+00   3.926191e+00   1.228079e-02   7.422984e-03   280376
  2.827093e+00   4.027338e+00   1.228600e-02   7.502374e-03   288884
  2.869605e+00   4.128196e+00   1.227401e-02   7.566048e-03   297602
  2.912071e+00   4.237863e+00   1.223046e-02   7.644052e-03   305520
  2.954561e+00   4.334848e+00   1.230079e-02   7.704905e-03   315976
  2.996984e+00   4.435371e+00   1.221089e-02   7.790635e-03   322778
  3.039488e+00   4.538246e+00   1.232008e-02   7.802044e-03   335372
  3.082114e+00   4.644034e+00   1.227327e-02   7.915469e-03   343464
  3.124654e+00   4.757477e+00   1.228282e-02   7.988868e-03   352912
  3.167174e+00   4.837574e+00   1.228199e-02   8.006001e-03   362666
  3.209689e+00   4.960774e+00   1.225476e-02   8.137082e-03   371884
  3.252186e+00   5.076886e+00   1.227971e-02   8.239326e-03   382280
  3.294633e+00   5.161630e+00   1.224302e-02   8.262229e-03   390888
  3.337059e+00   5.289950e+00   1.226867e-02   8.348668e-03   402234
  3.379565e+00   5.421301e+00   1.225933e-02   8.429625e-03   412576
  3.422105e+00   5.535540e+00   1.228715e-02   8.512556e-03   423732
  3.464636e+00   5.666186e+00   1.227257e-02   8.605874e-03   433624
