# cross spectrum of phi(z1) and phi(z2)
# redshift z=1.394777
# k              Pk             sigma(k)       sigma(Pk)      count
  3.132125e-02   6.907257e-11   4.792454e-03   1.900191e-11   18
  6.745391e-02   3.203638e-11   1.159167e-02   3.199580e-12   152
  1.090113e-01   1.127085e-11   1.224347e-02   5.545177e-13   416
  1.497134e-01   5.051146e-12   1.165022e-02   1.985293e-13   770
  1.923472e-01   2.652128e-12   1.247860e-02   7.792474e-14   1364
  2.350444e-01   1.506512e-12   1.221820e-02   3.480110e-14   1976
  2.775930e-01   9.709724e-13   1.245022e-02   1.917754e-14   2792
  3.193857e-01   6.740408e-13   1.188722e-02   1.121287e-14   3578
  3.615292e-01   4.688044e-13   1.219808e-02   6.922123e-15   4724
  4.045273e-01   3.496099e-13   1.253838e-02   4.526686e-15   6032
  4.469941e-01   2.587469e-13   1.206640e-02   3.240089e-15   7072
  4.890810e-01   2.099389e-13   1.222555e-02   2.349057e-15   8634
  5.318886e-01   1.716599e-13   1.238102e-02   1.741122e-15   10336
  5.746708e-01   1.389019e-13   1.232804e-02   1.277497e-15   11940
  6.167490e-01   1.144564e-13   1.208586e-02   1.009091e-15   13490
  6.588740e-01   9.923205e-14   1.221778e-02   8.153784e-16   15656
  7.016595e-01   8.411386e-14   1.241043e-02   6.274819e-16   18008
  7.443680e-01   7.145816e-14   1.227786e-02   5.292863e-16   19964
  7.867827e-01   6.169232e-14   1.226437e-02   4.270392e-16   22354
  8.291404e-01   5.380409e-14   1.212327e-02   3.567473e-16   24648
  8.716536e-01   4.758118e-14   1.233244e-02   2.961495e-16   27592
  9.142068e-01   4.239597e-14   1.230127e-02   2.513198e-16   30152
  9.566749e-01   3.753168e-14   1.227622e-02   2.181933e-16   33046
  9.991233e-01   3.359304e-14   1.221538e-02   1.863306e-16   35992
  1.041693e+00   3.073225e-14   1.229906e-02   1.634474e-16   39304
  1.084289e+00   2.747853e-14   1.232858e-02   1.419486e-16   42608
  1.126820e+00   2.498007e-14   1.223307e-02   1.248337e-16   45758
  1.169340e+00   2.240941e-14   1.228914e-02   1.097278e-16   49536
  1.211695e+00   2.079932e-14   1.215683e-02   9.856500e-17   52488
  1.254054e+00   1.888208e-14   1.233851e-02   8.575932e-17   57034
  1.296605e+00   1.723733e-14   1.224458e-02   7.692809e-17   60648
  1.339187e+00   1.579633e-14   1.230532e-02   6.789706e-17   65044
  1.381689e+00   1.457823e-14   1.223104e-02   6.126974e-17   68720
  1.424202e+00   1.352737e-14   1.231312e-02   5.560898e-17   73538
  1.466870e+00   1.262136e-14   1.230776e-02   5.069463e-17   78080
  1.509304e+00   1.147500e-14   1.215944e-02   4.527028e-17   81572
  1.551677e+00   1.080257e-14   1.232495e-02   4.182498e-17   87248
  1.594353e+00   1.004704e-14   1.233837e-02   3.793956e-17   92266
  1.636929e+00   9.239458e-15   1.225268e-02   3.435349e-17   96696
  1.679216e+00   8.629829e-15   1.215041e-02   3.182160e-17   100904
  1.721516e+00   8.105893e-15   1.226207e-02   2.939675e-17   107036
  1.764192e+00   7.504025e-15   1.235795e-02   2.653883e-17   113362
  1.806923e+00   7.041730e-15   1.228837e-02   2.462763e-17   118176
  1.849351e+00   6.539166e-15   1.221864e-02   2.264427e-17   122944
  1.891857e+00   6.165812e-15   1.233203e-02   2.108646e-17   129902
  1.934420e+00   5.805140e-15   1.224691e-02   1.973009e-17   134944
  1.976863e+00   5.371886e-15   1.225992e-02   1.807337e-17   140952
  2.019285e+00   5.062866e-15   1.225865e-02   1.685307e-17   147072
  2.061737e+00   4.767278e-15   1.224320e-02   1.572197e-17   153382
  2.104357e+00   4.479531e-15   1.233049e-02   1.461831e-17   160952
  2.147003e+00   4.198844e-15   1.228118e-02   1.359240e-17   166640
  2.189431e+00   3.926222e-15   1.222861e-02   1.269122e-17   172448
  2.231915e+00   3.715731e-15   1.231031e-02   1.186899e-17   180594
  2.274471e+00   3.478103e-15   1.224284e-02   1.110302e-17   186556
  2.316888e+00   3.274162e-15   1.225358e-02   1.044003e-17   193528
  2.359297e+00   3.075807e-15   1.224273e-02   9.789675e-18   200626
  2.401844e+00   2.893993e-15   1.230642e-02   9.148362e-18   209256
  2.444460e+00   2.723574e-15   1.227865e-02   8.576463e-18   216020
  2.487004e+00   2.576687e-15   1.230299e-02   8.130540e-18   223768
  2.529444e+00   2.415007e-15   1.222313e-02   7.632383e-18   230234
  2.571955e+00   2.278955e-15   1.229969e-02   7.167111e-18   239800
  2.614499e+00   2.135018e-15   1.225221e-02   6.774689e-18   246568
  2.656957e+00   2.036837e-15   1.227331e-02   6.437165e-18   254828
  2.699414e+00   1.905076e-15   1.225769e-02   6.079239e-18   263074
  2.741981e+00   1.794799e-15   1.228604e-02   5.724628e-18   272312
  2.784554e+00   1.709583e-15   1.228079e-02   5.402130e-18   280376
