# power spectrum of phi
# redshift z=0.794787
# k              Pk             sigma(k)       sigma(Pk)      count
  3.132125e-02   6.370004e-11   4.792454e-03   1.753834e-11   18
  6.745391e-02   2.929814e-11   1.159167e-02   2.927550e-12   152
  1.090113e-01   1.030823e-11   1.224347e-02   5.103045e-13   416
  1.497134e-01   4.704253e-12   1.165022e-02   1.844344e-13   770
  1.923472e-01   2.517157e-12   1.247860e-02   7.222114e-14   1364
  2.350444e-01   1.502447e-12   1.221820e-02   3.431889e-14   1976
  2.775930e-01   9.831894e-13   1.245022e-02   1.949215e-14   2792
  3.193857e-01   7.072129e-13   1.188722e-02   1.173049e-14   3578
  3.615292e-01   5.111759e-13   1.219808e-02   7.610056e-15   4724
  4.045273e-01   3.854275e-13   1.253838e-02   4.955453e-15   6032
  4.469941e-01   2.957587e-13   1.206640e-02   3.586977e-15   7072
  4.890810e-01   2.463903e-13   1.222555e-02   2.712493e-15   8634
  5.318886e-01   2.066537e-13   1.238102e-02   2.031400e-15   10336
  5.746708e-01   1.689032e-13   1.232804e-02   1.554078e-15   11940
  6.167490e-01   1.443986e-13   1.208586e-02   1.227328e-15   13490
  6.588740e-01   1.252552e-13   1.221778e-02   1.024918e-15   15656
  7.016595e-01   1.100379e-13   1.241043e-02   8.231487e-16   18008
  7.443680e-01   9.744240e-14   1.227786e-02   6.946239e-16   19964
  7.867827e-01   8.513296e-14   1.226437e-02   5.680940e-16   22354
  8.291404e-01   7.721502e-14   1.212327e-02   4.881503e-16   24648
  8.716536e-01   6.898322e-14   1.233244e-02   4.171839e-16   27592
  9.142068e-01   6.220614e-14   1.230127e-02   3.570904e-16   30152
  9.566749e-01   5.659085e-14   1.227622e-02   3.100391e-16   33046
  9.991233e-01   5.086950e-14   1.221538e-02   2.670284e-16   35992
  1.041693e+00   4.782795e-14   1.229906e-02   2.412725e-16   39304
  1.084289e+00   4.273596e-14   1.232858e-02   2.072429e-16   42608
  1.126820e+00   4.010599e-14   1.223307e-02   1.884217e-16   45758
  1.169340e+00   3.738682e-14   1.228914e-02   1.672322e-16   49536
  1.211695e+00   3.438345e-14   1.215683e-02   1.496845e-16   52488
  1.254054e+00   3.222023e-14   1.233851e-02   1.342904e-16   57034
  1.296605e+00   2.980425e-14   1.224458e-02   1.213039e-16   60648
  1.339187e+00   2.798162e-14   1.230532e-02   1.102679e-16   65044
  1.381689e+00   2.599928e-14   1.223104e-02   9.932169e-17   68720
  1.424202e+00   2.424998e-14   1.231312e-02   8.930708e-17   73538
  1.466870e+00   2.305188e-14   1.230776e-02   8.248215e-17   78080
  1.509304e+00   2.156131e-14   1.215944e-02   7.555966e-17   81572
  1.551677e+00   2.033683e-14   1.232495e-02   6.909737e-17   87248
  1.594353e+00   1.918513e-14   1.233837e-02   6.305963e-17   92266
  1.636929e+00   1.804336e-14   1.225268e-02   5.780345e-17   96696
  1.679216e+00   1.712791e-14   1.215041e-02   5.383261e-17   100904
  1.721516e+00   1.618393e-14   1.226207e-02   4.953959e-17   107036
  1.764192e+00   1.538571e-14   1.235795e-02   4.586416e-17   113362
  1.806923e+00   1.460698e-14   1.228837e-02   4.256321e-17   118176
  1.849351e+00   1.379022e-14   1.221864e-02   3.938948e-17   122944
  1.891857e+00   1.317682e-14   1.233203e-02   3.665503e-17   129902
  1.934420e+00   1.254037e-14   1.224691e-02   3.441130e-17   134944
  1.976863e+00   1.196930e-14   1.225992e-02   3.194348e-17   140952
  2.019285e+00   1.143645e-14   1.225865e-02   2.997375e-17   147072
  2.061737e+00   1.080524e-14   1.224320e-02   2.777694e-17   153382
  2.104357e+00   1.039088e-14   1.233049e-02   2.591352e-17   160952
  2.147003e+00   9.784288e-15   1.228118e-02   2.402297e-17   166640
  2.189431e+00   9.435493e-15   1.222861e-02   2.274975e-17   172448
  2.231915e+00   8.988223e-15   1.231031e-02   2.110186e-17   180594
  2.274471e+00   8.625317e-15   1.224284e-02   1.999210e-17   186556
  2.316888e+00   8.239702e-15   1.225358e-02   1.875769e-17   193528
  2.359297e+00   7.940394e-15   1.224273e-02   1.760027e-17   200626
  2.401844e+00   7.564629e-15   1.230642e-02   1.656131e-17   209256
  2.444460e+00   7.255094e-15   1.227865e-02   1.577264e-17   216020
  2.487004e+00   6.965844e-15   1.230299e-02   1.475981e-17   223768
  2.529444e+00   6.686720e-15   1.222313e-02   1.389085e-17   230234
  2.571955e+00   6.413475e-15   1.229969e-02   1.314174e-17   239800
  2.614499e+00   6.148739e-15   1.225221e-02   1.239737e-17   246568
  2.656957e+00   5.880656e-15   1.227331e-02   1.171815e-17   254828
  2.699414e+00   5.662012e-15   1.225769e-02   1.101850e-17   263074
  2.741981e+00   5.436911e-15   1.228604e-02   1.042191e-17   272312
  2.784554e+00   5.223632e-15   1.228079e-02   9.861615e-18   280376
  2.827093e+00   5.063228e-15   1.228600e-02   9.445255e-18   288884
  2.869605e+00   4.858800e-15   1.227401e-02   8.895576e-18   297602
  2.912071e+00   4.674830e-15   1.223046e-02   8.472135e-18   305520
  2.954561e+00   4.468521e-15   1.230079e-02   7.934164e-18   315976
  2.996984e+00   4.334496e-15   1.221089e-02   7.660606e-18   322778
  3.039488e+00   4.172571e-15   1.232008e-02   7.197566e-18   335372
  3.082114e+00   4.041607e-15   1.227327e-02   6.895476e-18   343464
  3.124654e+00   3.902313e-15   1.228282e-02   6.545218e-18   352912
  3.167174e+00   3.740442e-15   1.228199e-02   6.220180e-18   362666
  3.209689e+00   3.600566e-15   1.225476e-02   5.897373e-18   371884
  3.252186e+00   3.500198e-15   1.227971e-02   5.654085e-18   382280
  3.294633e+00   3.362208e-15   1.224302e-02   5.375395e-18   390888
  3.337059e+00   3.251170e-15   1.226867e-02   5.131239e-18   402234
  3.379565e+00   3.130146e-15   1.225933e-02   4.872202e-18   412576
  3.422105e+00   3.023807e-15   1.228715e-02   4.636058e-18   423732
  3.464636e+00   2.917005e-15   1.227257e-02   4.429307e-18   433624
  3.507180e+00   2.816395e-15   1.228881e-02   4.233599e-18   445154
  3.549739e+00   2.730404e-15   1.227656e-02   4.042854e-18   455584
  3.592238e+00   2.644168e-15   1.225887e-02   3.872553e-18   465588
  3.634685e+00   2.558081e-15   1.226065e-02   3.712319e-18   476762
  3.677219e+00   2.473227e-15   1.229242e-02   3.528012e-18   489552
  3.719789e+00   2.396387e-15   1.227853e-02   3.391056e-18   500328
  3.762251e+00   2.315603e-15   1.223705e-02   3.246053e-18   509852
  3.804741e+00   2.240404e-15   1.229735e-02   3.094659e-18   524234
  3.847275e+00   2.168065e-15   1.224781e-02   2.961805e-18   534104
  3.889779e+00   2.106477e-15   1.228211e-02   2.859145e-18   547048
  3.932320e+00   2.040823e-15   1.229545e-02   2.727648e-18   559328
  3.974872e+00   1.973301e-15   1.228346e-02   2.608569e-18   571326
  4.017355e+00   1.917088e-15   1.224147e-02   2.517343e-18   581920
  4.059804e+00   1.855452e-15   1.225835e-02   2.401514e-18   594832
  4.102282e+00   1.798942e-15   1.227222e-02   2.307829e-18   608048
  4.144825e+00   1.745824e-15   1.228101e-02   2.211343e-18   621526
  4.187356e+00   1.692389e-15   1.226445e-02   2.127013e-18   633240
  4.229822e+00   1.644978e-15   1.225981e-02   2.044312e-18   645472
  4.272346e+00   1.592091e-15   1.230137e-02   1.960591e-18   660906
  4.314903e+00   1.552133e-15   1.227030e-02   1.887088e-18   672856
  4.357425e+00   1.506241e-15   1.226838e-02   1.819676e-18   685980
  4.399921e+00   1.461609e-15   1.227191e-02   1.753559e-18   699256
  4.442476e+00   1.414697e-15   1.229990e-02   1.679482e-18   714730
  4.484986e+00   1.375986e-15   1.223739e-02   1.615644e-18   725152
  4.527452e+00   1.338081e-15   1.227054e-02   1.564563e-18   740420
  4.569941e+00   1.301991e-15   1.227636e-02   1.499195e-18   754312
  4.612456e+00   1.267028e-15   1.227959e-02   1.443016e-18   769114
  4.654996e+00   1.229928e-15   1.227684e-02   1.389095e-18   783488
  4.697459e+00   1.194793e-15   1.223560e-02   1.341268e-18   794968
  4.739925e+00   1.163468e-15   1.228043e-02   1.291936e-18   812366
  4.782438e+00   1.129897e-15   1.226054e-02   1.242739e-18   825976
  4.825000e+00   1.103676e-15   1.230088e-02   1.202657e-18   843352
  4.867591e+00   1.073852e-15   1.229290e-02   1.157915e-18   857280
  4.910094e+00   1.042105e-15   1.225276e-02   1.117182e-18   869542
  4.952587e+00   1.015332e-15   1.228301e-02   1.076909e-18   887128
  4.995087e+00   9.892561e-16   1.225266e-02   1.040411e-18   900032
  5.037553e+00   9.628011e-16   1.226951e-02   1.006158e-18   916560
  5.080018e+00   9.362160e-16   1.224713e-02   9.702247e-19   930922
  5.122540e+00   9.139955e-16   1.228718e-02   9.384445e-19   949844
  5.165149e+00   8.899568e-16   1.230776e-02   9.037102e-19   966736
  5.207698e+00   8.681645e-16   1.226328e-02   8.796155e-19   978776
  5.250149e+00   8.461828e-16   1.225655e-02   8.493236e-19   994522
  5.292642e+00   8.228636e-16   1.227563e-02   8.187086e-19   1012420
  5.335176e+00   8.019094e-16   1.228639e-02   7.901930e-19   1029408
  5.377640e+00   7.826659e-16   1.223362e-02   7.650426e-19   1041658
  5.420127e+00   7.629648e-16   1.228953e-02   7.399598e-19   1063520
  5.462635e+00   7.451236e-16   1.224276e-02   7.181748e-19   1075808
  5.505175e+00   7.245759e-16   1.232008e-02   6.914029e-19   1098956
  5.547712e+00   7.077059e-16   1.224668e-02   6.716637e-19   1109810
  5.590179e+00   6.906617e-16   1.226115e-02   6.502179e-19   1128608
  5.632713e+00   6.726271e-16   1.229436e-02   6.278393e-19   1148264
  5.675250e+00   6.566563e-16   1.227167e-02   6.074509e-19   1163252
  5.717744e+00   6.405188e-16   1.226828e-02   5.895142e-19   1181042
  5.760239e+00   6.263334e-16   1.225730e-02   5.721690e-19   1197848
  5.802769e+00   6.110408e-16   1.229495e-02   5.534628e-19   1218848
  5.845291e+00   5.966371e-16   1.225944e-02   5.380462e-19   1232916
  5.887780e+00   5.811281e-16   1.227538e-02   5.199987e-19   1253002
  5.930266e+00   5.685886e-16   1.224914e-02   5.042653e-19   1268576
  5.972763e+00   5.546592e-16   1.228621e-02   4.884916e-19   1290128
  6.015287e+00   5.420509e-16   1.227337e-02   4.747757e-19   1307402
