# power spectrum of delta
# redshift z=-0.000147
# k              Pk             sigma(k)       sigma(Pk)      count
  3.132125e-02   1.346870e-02   4.792454e-03   2.523812e-03   18
  6.745391e-02   1.478409e-01   1.159167e-02   1.427591e-02   152
  1.090113e-01   3.484200e-01   1.224347e-02   1.680237e-02   416
  1.497134e-01   5.949396e-01   1.165022e-02   2.201297e-02   770
  1.923472e-01   8.899339e-01   1.247860e-02   2.417734e-02   1364
  2.350444e-01   1.286488e+00   1.221820e-02   2.826990e-02   1976
  2.775930e-01   1.699832e+00   1.245022e-02   3.325789e-02   2792
  3.193857e-01   2.222061e+00   1.188722e-02   3.723215e-02   3578
  3.615292e-01   2.848664e+00   1.219808e-02   4.247315e-02   4724
  4.045273e-01   3.439638e+00   1.253838e-02   4.291800e-02   6032
  4.469941e-01   4.172773e+00   1.206640e-02   4.946678e-02   7072
  4.890810e-01   5.149015e+00   1.222555e-02   5.614200e-02   8634
  5.318886e-01   6.013960e+00   1.238102e-02   5.900405e-02   10336
  5.746708e-01   7.047485e+00   1.232804e-02   6.463267e-02   11940
  6.167490e-01   8.152167e+00   1.208586e-02   6.990529e-02   13490
  6.588740e-01   9.371536e+00   1.221778e-02   7.525447e-02   15656
  7.016595e-01   1.058511e+01   1.241043e-02   7.747076e-02   18008
  7.443680e-01   1.179594e+01   1.227786e-02   8.371101e-02   19964
  7.867827e-01   1.334930e+01   1.226437e-02   8.850834e-02   22354
  8.291404e-01   1.493094e+01   1.212327e-02   9.424437e-02   24648
  8.716536e-01   1.642118e+01   1.233244e-02   9.737748e-02   27592
  9.142068e-01   1.816545e+01   1.230127e-02   1.060037e-01   30152
  9.566749e-01   1.992746e+01   1.227622e-02   1.096538e-01   33046
  9.991233e-01   2.162197e+01   1.221538e-02   1.156826e-01   35992
  1.041693e+00   2.395155e+01   1.229906e-02   1.202610e-01   39304
  1.084289e+00   2.539854e+01   1.232858e-02   1.222115e-01   42608
  1.126820e+00   2.770653e+01   1.223307e-02   1.295653e-01   45758
  1.169340e+00   2.977178e+01   1.228914e-02   1.348582e-01   49536
  1.211695e+00   3.184791e+01   1.215683e-02   1.390707e-01   52488
  1.254054e+00   3.380898e+01   1.233851e-02   1.409520e-01   57034
  1.296605e+00   3.593187e+01   1.224458e-02   1.459734e-01   60648
  1.339187e+00   3.827230e+01   1.230532e-02   1.505259e-01   65044
  1.381689e+00   4.070949e+01   1.223104e-02   1.548414e-01   68720
  1.424202e+00   4.293412e+01   1.231312e-02   1.562812e-01   73538
  1.466870e+00   4.522609e+01   1.230776e-02   1.613891e-01   78080
  1.509304e+00   4.723607e+01   1.215944e-02   1.648345e-01   81572
  1.551677e+00   4.988852e+01   1.232495e-02   1.683121e-01   87248
  1.594353e+00   5.259580e+01   1.233837e-02   1.716137e-01   92266
  1.636929e+00   5.543371e+01   1.225268e-02   1.777548e-01   96696
  1.679216e+00   5.787150e+01   1.215041e-02   1.837589e-01   100904
  1.721516e+00   5.971967e+01   1.226207e-02   1.830645e-01   107036
  1.764192e+00   6.206301e+01   1.235795e-02   1.844028e-01   113362
  1.806923e+00   6.507604e+01   1.228837e-02   1.888509e-01   118176
  1.849351e+00   6.678881e+01   1.221864e-02   1.896688e-01   122944
  1.891857e+00   6.868232e+01   1.233203e-02   1.906012e-01   129902
  1.934420e+00   7.142440e+01   1.224691e-02   1.934494e-01   134944
  1.976863e+00   7.401691e+01   1.225992e-02   1.959832e-01   140952
  2.019285e+00   7.607731e+01   1.225865e-02   1.986060e-01   147072
  2.061737e+00   7.868949e+01   1.224320e-02   2.014237e-01   153382
  2.104357e+00   8.111761e+01   1.233049e-02   2.023926e-01   160952
  2.147003e+00   8.389144e+01   1.228118e-02   2.051858e-01   166640
  2.189431e+00   8.547612e+01   1.222861e-02   2.049861e-01   172448
  2.231915e+00   8.864993e+01   1.231031e-02   2.082862e-01   180594
  2.274471e+00   9.079620e+01   1.224284e-02   2.104798e-01   186556
  2.316888e+00   9.267732e+01   1.225358e-02   2.110546e-01   193528
  2.359297e+00   9.544754e+01   1.224273e-02   2.134372e-01   200626
  2.401844e+00   9.812209e+01   1.230642e-02   2.140214e-01   209256
  2.444460e+00   1.000848e+02   1.227865e-02   2.152176e-01   216020
  2.487004e+00   1.026122e+02   1.230299e-02   2.167464e-01   223768
  2.529444e+00   1.043494e+02   1.222313e-02   2.180755e-01   230234
  2.571955e+00   1.068336e+02   1.229969e-02   2.175848e-01   239800
  2.614499e+00   1.094267e+02   1.225221e-02   2.186870e-01   246568
  2.656957e+00   1.121181e+02   1.227331e-02   2.224110e-01   254828
  2.699414e+00   1.139520e+02   1.225769e-02   2.215778e-01   263074
  2.741981e+00   1.169335e+02   1.228604e-02   2.233226e-01   272312
  2.784554e+00   1.186268e+02   1.228079e-02   2.241287e-01   280376
  2.827093e+00   1.211011e+02   1.228600e-02   2.249084e-01   288884
  2.869605e+00   1.235342e+02   1.227401e-02   2.260356e-01   297602
  2.912071e+00   1.259952e+02   1.223046e-02   2.272974e-01   305520
  2.954561e+00   1.277897e+02   1.230079e-02   2.276912e-01   315976
  2.996984e+00   1.306111e+02   1.221089e-02   2.283231e-01   322778
  3.039488e+00   1.322194e+02   1.232008e-02   2.278221e-01   335372
  3.082114e+00   1.342479e+02   1.227327e-02   2.287974e-01   343464
  3.124654e+00   1.364652e+02   1.228282e-02   2.302613e-01   352912
  3.167174e+00   1.388715e+02   1.228199e-02   2.308061e-01   362666
  3.209689e+00   1.406974e+02   1.225476e-02   2.290559e-01   371884
  3.252186e+00   1.426782e+02   1.227971e-02   2.305204e-01   382280
  3.294633e+00   1.455506e+02   1.224302e-02   2.329426e-01   390888
  3.337059e+00   1.473070e+02   1.226867e-02   2.334234e-01   402234
  3.379565e+00   1.493352e+02   1.225933e-02   2.318154e-01   412576
  3.422105e+00   1.511258e+02   1.228715e-02   2.318882e-01   423732
  3.464636e+00   1.535428e+02   1.227257e-02   2.335230e-01   433624
  3.507180e+00   1.556939e+02   1.228881e-02   2.335126e-01   445154
  3.549739e+00   1.572104e+02   1.227656e-02   2.332668e-01   455584
  3.592238e+00   1.590004e+02   1.225887e-02   2.326294e-01   465588
  3.634685e+00   1.610143e+02   1.226065e-02   2.341354e-01   476762
  3.677219e+00   1.630707e+02   1.229242e-02   2.326914e-01   489552
  3.719789e+00   1.648557e+02   1.227853e-02   2.333847e-01   500328
  3.762251e+00   1.674202e+02   1.223705e-02   2.344414e-01   509852
  3.804741e+00   1.686057e+02   1.229735e-02   2.332186e-01   524234
  3.847275e+00   1.711728e+02   1.224781e-02   2.337027e-01   534104
  3.889779e+00   1.733357e+02   1.228211e-02   2.341190e-01   547048
  3.932320e+00   1.749233e+02   1.229545e-02   2.338068e-01   559328
  3.974872e+00   1.771943e+02   1.228346e-02   2.345845e-01   571326
  4.017355e+00   1.792752e+02   1.224147e-02   2.347124e-01   581920
  4.059804e+00   1.806049e+02   1.225835e-02   2.345328e-01   594832
  4.102282e+00   1.824303e+02   1.227222e-02   2.342951e-01   608048
  4.144825e+00   1.842830e+02   1.228101e-02   2.335031e-01   621526
  4.187356e+00   1.857617e+02   1.226445e-02   2.334058e-01   633240
  4.229822e+00   1.882225e+02   1.225981e-02   2.343640e-01   645472
  4.272346e+00   1.898144e+02   1.230137e-02   2.336500e-01   660906
  4.314903e+00   1.913379e+02   1.227030e-02   2.331701e-01   672856
  4.357425e+00   1.930474e+02   1.226838e-02   2.334305e-01   685980
  4.399921e+00   1.946256e+02   1.227191e-02   2.329702e-01   699256
  4.442476e+00   1.962705e+02   1.229990e-02   2.326475e-01   714730
  4.484986e+00   1.983398e+02   1.223739e-02   2.329433e-01   725152
  4.527452e+00   1.996177e+02   1.227054e-02   2.316142e-01   740420
  4.569941e+00   2.015997e+02   1.227636e-02   2.319472e-01   754312
  4.612456e+00   2.030788e+02   1.227959e-02   2.323271e-01   769114
  4.654996e+00   2.051258e+02   1.227684e-02   2.319572e-01   783488
  4.697459e+00   2.061275e+02   1.223560e-02   2.308636e-01   794968
  4.739925e+00   2.083297e+02   1.228043e-02   2.311084e-01   812366
  4.782438e+00   2.100917e+02   1.226054e-02   2.312971e-01   825976
  4.825000e+00   2.117321e+02   1.230088e-02   2.301887e-01   843352
  4.867591e+00   2.132633e+02   1.229290e-02   2.311640e-01   857280
  4.910094e+00   2.146762e+02   1.225276e-02   2.303087e-01   869542
  4.952587e+00   2.168528e+02   1.228301e-02   2.303309e-01   887128
  4.995087e+00   2.182218e+02   1.225266e-02   2.300848e-01   900032
  5.037553e+00   2.186455e+02   1.226951e-02   2.279396e-01   916560
  5.080018e+00   2.211180e+02   1.224713e-02   2.292525e-01   930922
  5.122540e+00   2.225079e+02   1.228718e-02   2.277996e-01   949844
  5.165149e+00   2.233888e+02   1.230776e-02   2.279546e-01   966736
  5.207698e+00   2.247018e+02   1.226328e-02   2.266791e-01   978776
  5.250149e+00   2.264955e+02   1.225655e-02   2.271269e-01   994522
  5.292642e+00   2.273499e+02   1.227563e-02   2.260203e-01   1012420
  5.335176e+00   2.296112e+02   1.228639e-02   2.258733e-01   1029408
  5.377640e+00   2.300358e+02   1.223362e-02   2.252673e-01   1041658
  5.420127e+00   2.316081e+02   1.228953e-02   2.244085e-01   1063520
  5.462635e+00   2.333711e+02   1.224276e-02   2.251772e-01   1075808
  5.505175e+00   2.337532e+02   1.232008e-02   2.237632e-01   1098956
  5.547712e+00   2.348190e+02   1.224668e-02   2.229647e-01   1109810
  5.590179e+00   2.366882e+02   1.226115e-02   2.230581e-01   1128608
  5.632713e+00   2.375913e+02   1.229436e-02   2.210865e-01   1148264
  5.675250e+00   2.387997e+02   1.227167e-02   2.210010e-01   1163252
  5.717744e+00   2.403368e+02   1.226828e-02   2.215734e-01   1181042
  5.760239e+00   2.411069e+02   1.225730e-02   2.201005e-01   1197848
  5.802769e+00   2.418585e+02   1.229495e-02   2.189845e-01   1218848
  5.845291e+00   2.439238e+02   1.225944e-02   2.200747e-01   1232916
  5.887780e+00   2.449356e+02   1.227538e-02   2.183898e-01   1253002
  5.930266e+00   2.460440e+02   1.224914e-02   2.183860e-01   1268576
  5.972763e+00   2.471887e+02   1.228621e-02   2.173118e-01   1290128
  6.015287e+00   2.484186e+02   1.227337e-02   2.171802e-01   1307402
  6.057820e+00   2.498834e+02   1.227649e-02   2.176301e-01   1327028
  6.100333e+00   2.508937e+02   1.225988e-02   2.164950e-01   1343648
  6.142842e+00   2.517051e+02   1.228087e-02   2.153885e-01   1364096
  6.185363e+00   2.533324e+02   1.227580e-02   2.157538e-01   1382730
  6.227896e+00   2.536748e+02   1.227503e-02   2.143626e-01   1402164
  6.270416e+00   2.548794e+02   1.227264e-02   2.138632e-01   1420464
  6.312883e+00   2.561096e+02   1.225519e-02   2.140125e-01   1437368
  6.355387e+00   2.564838e+02   1.228857e-02   2.120919e-01   1461530
  6.397919e+00   2.572346e+02   1.226028e-02   2.112982e-01   1478264
  6.440432e+00   2.583182e+02   1.227561e-02   2.109204e-01   1499356
