# power spectrum of delta_N
# redshift z=-0.000147
# k              Pk             sigma(k)       sigma(Pk)      count
  3.132125e-02   1.347387e-02   4.792454e-03   2.524720e-03   18
  6.745391e-02   1.478630e-01   1.159167e-02   1.427805e-02   152
  1.090113e-01   3.484641e-01   1.224347e-02   1.680456e-02   416
  1.497134e-01   5.950135e-01   1.165022e-02   2.201562e-02   770
  1.923472e-01   8.900501e-01   1.247860e-02   2.418041e-02   1364
  2.350444e-01   1.286663e+00   1.221820e-02   2.827363e-02   1976
  2.775930e-01   1.700062e+00   1.245022e-02   3.326253e-02   2792
  3.193857e-01   2.222386e+00   1.188722e-02   3.723747e-02   3578
  3.615292e-01   2.849101e+00   1.219808e-02   4.247954e-02   4724
  4.045273e-01   3.440175e+00   1.253838e-02   4.292459e-02   6032
  4.469941e-01   4.173445e+00   1.206640e-02   4.947446e-02   7072
  4.890810e-01   5.149878e+00   1.222555e-02   5.615123e-02   8634
  5.318886e-01   6.014954e+00   1.238102e-02   5.901380e-02   10336
  5.746708e-01   7.048694e+00   1.232804e-02   6.464369e-02   11940
  6.167490e-01   8.153572e+00   1.208586e-02   6.991758e-02   13490
  6.588740e-01   9.373201e+00   1.221778e-02   7.526775e-02   15656
  7.016595e-01   1.058700e+01   1.241043e-02   7.748425e-02   18008
  7.443680e-01   1.179802e+01   1.227786e-02   8.372560e-02   19964
  7.867827e-01   1.335168e+01   1.226437e-02   8.852399e-02   22354
  8.291404e-01   1.493364e+01   1.212327e-02   9.426111e-02   24648
  8.716536e-01   1.642417e+01   1.233244e-02   9.739505e-02   27592
  9.142068e-01   1.816873e+01   1.230127e-02   1.060226e-01   30152
  9.566749e-01   1.993105e+01   1.227622e-02   1.096735e-01   33046
  9.991233e-01   2.162589e+01   1.221538e-02   1.157035e-01   35992
  1.041693e+00   2.395593e+01   1.229906e-02   1.202827e-01   39304
  1.084289e+00   2.540315e+01   1.232858e-02   1.222336e-01   42608
  1.126820e+00   2.771157e+01   1.223307e-02   1.295887e-01   45758
  1.169340e+00   2.977715e+01   1.228914e-02   1.348824e-01   49536
  1.211695e+00   3.185368e+01   1.215683e-02   1.390959e-01   52488
  1.254054e+00   3.381511e+01   1.233851e-02   1.409774e-01   57034
  1.296605e+00   3.593835e+01   1.224458e-02   1.459996e-01   60648
  1.339187e+00   3.827917e+01   1.230532e-02   1.505525e-01   65044
  1.381689e+00   4.071677e+01   1.223104e-02   1.548689e-01   68720
  1.424202e+00   4.294178e+01   1.231312e-02   1.563090e-01   73538
  1.466870e+00   4.523417e+01   1.230776e-02   1.614177e-01   78080
  1.509304e+00   4.724445e+01   1.215944e-02   1.648637e-01   81572
  1.551677e+00   4.989730e+01   1.232495e-02   1.683417e-01   87248
  1.594353e+00   5.260507e+01   1.233837e-02   1.716439e-01   92266
  1.636929e+00   5.544347e+01   1.225268e-02   1.777861e-01   96696
  1.679216e+00   5.788165e+01   1.215041e-02   1.837908e-01   100904
  1.721516e+00   5.973005e+01   1.226207e-02   1.830963e-01   107036
  1.764192e+00   6.207379e+01   1.235795e-02   1.844346e-01   113362
  1.806923e+00   6.508732e+01   1.228837e-02   1.888834e-01   118176
  1.849351e+00   6.680039e+01   1.221864e-02   1.897014e-01   122944
  1.891857e+00   6.869409e+01   1.233203e-02   1.906338e-01   129902
  1.934420e+00   7.143661e+01   1.224691e-02   1.934824e-01   134944
  1.976863e+00   7.402953e+01   1.225992e-02   1.960165e-01   140952
  2.019285e+00   7.609026e+01   1.225865e-02   1.986396e-01   147072
  2.061737e+00   7.870280e+01   1.224320e-02   2.014577e-01   153382
  2.104357e+00   8.113128e+01   1.233049e-02   2.024266e-01   160952
  2.147003e+00   8.390559e+01   1.228118e-02   2.052201e-01   166640
  2.189431e+00   8.549036e+01   1.222861e-02   2.050202e-01   172448
  2.231915e+00   8.866471e+01   1.231031e-02   2.083208e-01   180594
  2.274471e+00   9.081131e+01   1.224284e-02   2.105149e-01   186556
  2.316888e+00   9.269268e+01   1.225358e-02   2.110897e-01   193528
  2.359297e+00   9.546326e+01   1.224273e-02   2.134725e-01   200626
  2.401844e+00   9.813826e+01   1.230642e-02   2.140566e-01   209256
  2.444460e+00   1.001012e+02   1.227865e-02   2.152530e-01   216020
  2.487004e+00   1.026290e+02   1.230299e-02   2.167820e-01   223768
  2.529444e+00   1.043665e+02   1.222313e-02   2.181111e-01   230234
  2.571955e+00   1.068510e+02   1.229969e-02   2.176200e-01   239800
  2.614499e+00   1.094445e+02   1.225221e-02   2.187225e-01   246568
  2.656957e+00   1.121362e+02   1.227331e-02   2.224470e-01   254828
  2.699414e+00   1.139704e+02   1.225769e-02   2.216137e-01   263074
  2.741981e+00   1.169524e+02   1.228604e-02   2.233585e-01   272312
  2.784554e+00   1.186459e+02   1.228079e-02   2.241647e-01   280376
  2.827093e+00   1.211205e+02   1.228600e-02   2.249446e-01   288884
  2.869605e+00   1.235540e+02   1.227401e-02   2.260719e-01   297602
  2.912071e+00   1.260153e+02   1.223046e-02   2.273336e-01   305520
  2.954561e+00   1.278101e+02   1.230079e-02   2.277273e-01   315976
  2.996984e+00   1.306318e+02   1.221089e-02   2.283594e-01   322778
  3.039488e+00   1.322404e+02   1.232008e-02   2.278583e-01   335372
  3.082114e+00   1.342691e+02   1.227327e-02   2.288335e-01   343464
  3.124654e+00   1.364867e+02   1.228282e-02   2.302976e-01   352912
  3.167174e+00   1.388933e+02   1.228199e-02   2.308424e-01   362666
  3.209689e+00   1.407195e+02   1.225476e-02   2.290917e-01   371884
  3.252186e+00   1.427005e+02   1.227971e-02   2.305563e-01   382280
  3.294633e+00   1.455734e+02   1.224302e-02   2.329790e-01   390888
  3.337059e+00   1.473299e+02   1.226867e-02   2.334597e-01   402234
  3.379565e+00   1.493584e+02   1.225933e-02   2.318514e-01   412576
  3.422105e+00   1.511493e+02   1.228715e-02   2.319240e-01   423732
  3.464636e+00   1.535666e+02   1.227257e-02   2.335592e-01   433624
  3.507180e+00   1.557180e+02   1.228881e-02   2.335486e-01   445154
  3.549739e+00   1.572347e+02   1.227656e-02   2.333027e-01   455584
  3.592238e+00   1.590249e+02   1.225887e-02   2.326651e-01   465588
  3.634685e+00   1.610389e+02   1.226065e-02   2.341712e-01   476762
  3.677219e+00   1.630957e+02   1.229242e-02   2.327269e-01   489552
  3.719789e+00   1.648809e+02   1.227853e-02   2.334204e-01   500328
  3.762251e+00   1.674457e+02   1.223705e-02   2.344770e-01   509852
  3.804741e+00   1.686314e+02   1.229735e-02   2.332542e-01   524234
  3.847275e+00   1.711988e+02   1.224781e-02   2.337382e-01   534104
  3.889779e+00   1.733620e+02   1.228211e-02   2.341545e-01   547048
  3.932320e+00   1.749497e+02   1.229545e-02   2.338423e-01   559328
  3.974872e+00   1.772210e+02   1.228346e-02   2.346199e-01   571326
  4.017355e+00   1.793022e+02   1.224147e-02   2.347479e-01   581920
  4.059804e+00   1.806321e+02   1.225835e-02   2.345679e-01   594832
  4.102282e+00   1.824577e+02   1.227222e-02   2.343302e-01   608048
  4.144825e+00   1.843107e+02   1.228101e-02   2.335381e-01   621526
  4.187356e+00   1.857895e+02   1.226445e-02   2.334406e-01   633240
  4.229822e+00   1.882506e+02   1.225981e-02   2.343990e-01   645472
  4.272346e+00   1.898427e+02   1.230137e-02   2.336849e-01   660906
  4.314903e+00   1.913664e+02   1.227030e-02   2.332048e-01   672856
  4.357425e+00   1.930761e+02   1.226838e-02   2.334652e-01   685980
  4.399921e+00   1.946544e+02   1.227191e-02   2.330047e-01   699256
  4.442476e+00   1.962996e+02   1.229990e-02   2.326818e-01   714730
  4.484986e+00   1.983691e+02   1.223739e-02   2.329778e-01   725152
  4.527452e+00   1.996471e+02   1.227054e-02   2.316484e-01   740420
  4.569941e+00   2.016293e+02   1.227636e-02   2.319813e-01   754312
  4.612456e+00   2.031086e+02   1.227959e-02   2.323611e-01   769114
  4.654996e+00   2.051559e+02   1.227684e-02   2.319912e-01   783488
  4.697459e+00   2.061577e+02   1.223560e-02   2.308973e-01   794968
  4.739925e+00   2.083600e+02   1.228043e-02   2.311420e-01   812366
  4.782438e+00   2.101223e+02   1.226054e-02   2.313308e-01   825976
  4.825000e+00   2.117629e+02   1.230088e-02   2.302221e-01   843352
  4.867591e+00   2.132943e+02   1.229290e-02   2.311976e-01   857280
  4.910094e+00   2.147072e+02   1.225276e-02   2.303420e-01   869542
  4.952587e+00   2.168841e+02   1.228301e-02   2.303641e-01   887128
  4.995087e+00   2.182533e+02   1.225266e-02   2.301180e-01   900032
  5.037553e+00   2.186770e+02   1.226951e-02   2.279724e-01   916560
  5.080018e+00   2.211497e+02   1.224713e-02   2.292854e-01   930922
  5.122540e+00   2.225399e+02   1.228718e-02   2.278323e-01   949844
