# power spectrum of phi
# redshift z=-0.000147
# k              Pk             sigma(k)       sigma(Pk)      count
  3.132125e-02   4.418733e-11   4.792454e-03   1.218741e-11   18
  6.745391e-02   1.994662e-11   1.159167e-02   1.994294e-12   152
  1.090113e-01   6.959556e-12   1.224347e-02   3.494378e-13   416
  1.497134e-01   3.292318e-12   1.165022e-02   1.271577e-13   770
  1.923472e-01   1.822433e-12   1.247860e-02   5.108097e-14   1364
  2.350444e-01   1.157783e-12   1.221820e-02   2.602617e-14   1976
  2.775930e-01   7.851430e-13   1.245022e-02   1.571761e-14   2792
  3.193857e-01   5.806733e-13   1.188722e-02   9.749228e-15   3578
  3.615292e-01   4.560401e-13   1.219808e-02   6.903580e-15   4724
  4.045273e-01   3.486795e-13   1.253838e-02   4.339479e-15   6032
  4.469941e-01   2.838693e-13   1.206640e-02   3.387701e-15   7072
  4.890810e-01   2.442119e-13   1.222555e-02   2.651902e-15   8634
  5.318886e-01   2.042936e-13   1.238102e-02   2.005259e-15   10336
  5.746708e-01   1.750065e-13   1.232804e-02   1.604253e-15   11940
  6.167490e-01   1.528355e-13   1.208586e-02   1.310421e-15   13490
  6.588740e-01   1.348900e-13   1.221778e-02   1.081234e-15   15656
  7.016595e-01   1.185292e-13   1.241043e-02   8.667815e-16   18008
  7.443680e-01   1.043645e-13   1.227786e-02   7.416763e-16   19964
  7.867827e-01   9.461393e-14   1.226437e-02   6.272597e-16   22354
  8.291404e-01   8.568537e-14   1.212327e-02   5.398138e-16   24648
  8.716536e-01   7.719229e-14   1.233244e-02   4.579341e-16   27592
  9.142068e-01   7.056633e-14   1.230127e-02   4.114003e-16   30152
  9.566749e-01   6.453748e-14   1.227622e-02   3.552878e-16   33046
  9.991233e-01   5.885966e-14   1.221538e-02   3.153396e-16   35992
  1.041693e+00   5.521232e-14   1.229906e-02   2.770879e-16   39304
  1.084289e+00   4.984932e-14   1.232858e-02   2.399532e-16   42608
  1.126820e+00   4.662643e-14   1.223307e-02   2.179503e-16   45758
  1.169340e+00   4.324040e-14   1.228914e-02   1.961760e-16   49536
  1.211695e+00   4.009271e-14   1.215683e-02   1.749501e-16   52488
  1.254054e+00   3.709293e-14   1.233851e-02   1.546658e-16   57034
  1.296605e+00   3.450085e-14   1.224458e-02   1.401561e-16   60648
  1.339187e+00   3.230083e-14   1.230532e-02   1.269740e-16   65044
  1.381689e+00   3.032049e-14   1.223104e-02   1.154403e-16   68720
  1.424202e+00   2.831905e-14   1.231312e-02   1.030902e-16   73538
  1.466870e+00   2.650720e-14   1.230776e-02   9.455460e-17   78080
  1.509304e+00   2.470301e-14   1.215944e-02   8.623599e-17   81572
  1.551677e+00   2.336056e-14   1.232495e-02   7.888154e-17   87248
  1.594353e+00   2.209067e-14   1.233837e-02   7.211030e-17   92266
  1.636929e+00   2.095964e-14   1.225268e-02   6.723136e-17   96696
  1.679216e+00   1.975504e-14   1.215041e-02   6.269581e-17   100904
  1.721516e+00   1.845878e-14   1.226207e-02   5.662457e-17   107036
  1.764192e+00   1.739518e-14   1.235795e-02   5.169899e-17   113362
  1.806923e+00   1.656978e-14   1.228837e-02   4.807463e-17   118176
  1.849351e+00   1.549811e-14   1.221864e-02   4.400202e-17   122944
  1.891857e+00   1.455624e-14   1.233203e-02   4.040361e-17   129902
  1.934420e+00   1.384738e-14   1.224691e-02   3.750543e-17   134944
  1.976863e+00   1.316013e-14   1.225992e-02   3.484858e-17   140952
  2.019285e+00   1.242299e-14   1.225865e-02   3.242951e-17   147072
  2.061737e+00   1.182558e-14   1.224320e-02   3.027619e-17   153382
  2.104357e+00   1.123243e-14   1.233049e-02   2.802636e-17   160952
  2.147003e+00   1.072157e-14   1.228118e-02   2.623216e-17   166640
  2.189431e+00   1.010203e-14   1.222861e-02   2.423910e-17   172448
  2.231915e+00   9.702861e-15   1.231031e-02   2.280719e-17   180594
  2.274471e+00   9.214403e-15   1.224284e-02   2.136765e-17   186556
  2.316888e+00   8.736047e-15   1.225358e-02   1.990053e-17   193528
