# cross spectrum of phi(z1) and phi(z2)
# redshift z=-0.000147
# k              Pk             sigma(k)       sigma(Pk)      count
  3.132125e-02   5.651503e-11   4.792454e-03   1.557452e-11   18
  6.745391e-02   2.571091e-11   1.159167e-02   2.592437e-12   152
  1.090113e-01   8.559259e-12   1.224347e-02   4.381487e-13   416
  1.497134e-01   3.455802e-12   1.165022e-02   1.510517e-13   770
  1.923472e-01   1.593876e-12   1.247860e-02   5.577981e-14   1364
  2.350444e-01   7.500567e-13   1.221820e-02   2.391987e-14   1976
  2.775930e-01   3.866068e-13   1.245022e-02   1.261104e-14   2792
  3.193857e-01   2.212072e-13   1.188722e-02   7.361025e-15   3578
  3.615292e-01   1.052848e-13   1.219808e-02   4.615497e-15   4724
  4.045273e-01   6.042152e-14   1.253838e-02   3.034250e-15   6032
  4.469941e-01   2.597261e-14   1.206640e-02   2.122745e-15   7072
  4.890810e-01   1.785628e-14   1.222555e-02   1.528830e-15   8634
  5.318886e-01   8.822378e-15   1.238102e-02   1.129744e-15   10336
  5.746708e-01   2.141074e-15   1.232804e-02   8.393970e-16   11940
  6.167490e-01   -9.682586e-17   1.208586e-02   6.797000e-16   13490
  6.588740e-01   1.160921e-15   1.221778e-02   5.433844e-16   15656
  7.016595e-01   1.277481e-15   1.241043e-02   4.191283e-16   18008
  7.443680e-01   5.219903e-16   1.227786e-02   3.382020e-16   19964
  7.867827e-01   6.979593e-16   1.226437e-02   2.809772e-16   22354
  8.291404e-01   -2.135301e-16   1.212327e-02   2.349353e-16   24648
  8.716536e-01   9.220774e-17   1.233244e-02   1.942216e-16   27592
  9.142068e-01   -1.326772e-16   1.230127e-02   1.652993e-16   30152
  9.566749e-01   -1.741847e-16   1.227622e-02   1.397548e-16   33046
  9.991233e-01   -5.018732e-17   1.221538e-02   1.190016e-16   35992
  1.041693e+00   -5.512352e-17   1.229906e-02   1.030484e-16   39304
  1.084289e+00   1.019561e-16   1.232858e-02   8.923602e-17   42608
  1.126820e+00   -6.051807e-17   1.223307e-02   7.813857e-17   45758
  1.169340e+00   1.974850e-17   1.228914e-02   6.718051e-17   49536
  1.211695e+00   4.034567e-17   1.215683e-02   5.890121e-17   52488
  1.254054e+00   8.766714e-18   1.233851e-02   5.278032e-17   57034
  1.296605e+00   -9.174901e-18   1.224458e-02   4.585168e-17   60648
  1.339187e+00   4.171805e-17   1.230532e-02   4.075369e-17   65044
  1.381689e+00   -1.889149e-17   1.223104e-02   3.721745e-17   68720
  1.424202e+00   -6.400025e-17   1.231312e-02   3.266582e-17   73538
  1.466870e+00   -1.270339e-17   1.230776e-02   2.921652e-17   78080
  1.509304e+00   -3.403496e-17   1.215944e-02   2.659598e-17   81572
  1.551677e+00   -1.024772e-17   1.232495e-02   2.377302e-17   87248
  1.594353e+00   -5.160113e-17   1.233837e-02   2.136862e-17   92266
  1.636929e+00   -3.125399e-17   1.225268e-02   1.961717e-17   96696
  1.679216e+00   9.627364e-18   1.215041e-02   1.786426e-17   100904
  1.721516e+00   1.722052e-17   1.226207e-02   1.607919e-17   107036
  1.764192e+00   -3.507132e-17   1.235795e-02   1.462811e-17   113362
  1.806923e+00   -1.559656e-18   1.228837e-02   1.334030e-17   118176
  1.849351e+00   1.139413e-17   1.221864e-02   1.225447e-17   122944
  1.891857e+00   -7.970129e-18   1.233203e-02   1.110001e-17   129902
  1.934420e+00   -4.434916e-17   1.224691e-02   1.020492e-17   134944
  1.976863e+00   -2.656217e-18   1.225992e-02   9.424137e-18   140952
  2.019285e+00   -1.593229e-17   1.225865e-02   8.591528e-18   147072
  2.061737e+00   4.179534e-18   1.224320e-02   7.978958e-18   153382
  2.104357e+00   2.056266e-17   1.233049e-02   7.345188e-18   160952
  2.147003e+00   -5.095148e-19   1.228118e-02   6.789164e-18   166640
  2.189431e+00   6.680503e-18   1.222861e-02   6.299604e-18   172448
  2.231915e+00   -9.487808e-18   1.231031e-02   5.837853e-18   180594
  2.274471e+00   3.478492e-18   1.224284e-02   5.439973e-18   186556
  2.316888e+00   5.655181e-18   1.225358e-02   5.036268e-18   193528
  2.359297e+00   -7.128128e-19   1.224273e-02   4.713942e-18   200626
  2.401844e+00   -1.311930e-18   1.230642e-02   4.384919e-18   209256
  2.444460e+00   2.553613e-18   1.227865e-02   4.101662e-18   216020
  2.487004e+00   6.283155e-18   1.230299e-02   3.827083e-18   223768
  2.529444e+00   -4.169324e-18   1.222313e-02   3.554147e-18   230234
  2.571955e+00   6.200220e-18   1.229969e-02   3.314678e-18   239800
  2.614499e+00   1.602763e-18   1.225221e-02   3.112770e-18   246568
  2.656957e+00   -8.142298e-18   1.227331e-02   2.941899e-18   254828
  2.699414e+00   3.210732e-18   1.225769e-02   2.750902e-18   263074
  2.741981e+00   -1.066044e-17   1.228604e-02   2.580625e-18   272312
  2.784554e+00   2.370693e-18   1.228079e-02   2.421440e-18   280376
  2.827093e+00   -1.100993e-18   1.228600e-02   2.286580e-18   288884
  2.869605e+00   5.667360e-18   1.227401e-02   2.129075e-18   297602
  2.912071e+00   -3.117199e-18   1.223046e-02   2.030511e-18   305520
  2.954561e+00   6.477033e-19   1.230079e-02   1.907678e-18   315976
  2.996984e+00   2.649991e-18   1.221089e-02   1.807756e-18   322778
  3.039488e+00   7.977223e-19   1.232008e-02   1.700668e-18   335372
  3.082114e+00   1.071272e-18   1.227327e-02   1.608890e-18   343464
  3.124654e+00   8.319398e-19   1.228282e-02   1.513728e-18   352912
  3.167174e+00   1.755608e-19   1.228199e-02   1.430475e-18   362666
  3.209689e+00   1.527684e-18   1.225476e-02   1.361484e-18   371884
  3.252186e+00   -1.573774e-18   1.227971e-02   1.287321e-18   382280
  3.294633e+00   2.387558e-18   1.224302e-02   1.223038e-18   390888
  3.337059e+00   1.775177e-18   1.226867e-02   1.165614e-18   402234
  3.379565e+00   1.337253e-18   1.225933e-02   1.102371e-18   412576
  3.422105e+00   -1.288679e-18   1.228715e-02   1.043661e-18   423732
  3.464636e+00   2.175473e-18   1.227257e-02   9.913264e-19   433624
  3.507180e+00   -2.895418e-19   1.228881e-02   9.439018e-19   445154
  3.549739e+00   3.541618e-19   1.227656e-02   8.976979e-19   455584
  3.592238e+00   6.551721e-19   1.225887e-02   8.549398e-19   465588
  3.634685e+00   9.205104e-19   1.226065e-02   8.139142e-19   476762
  3.677219e+00   1.272808e-19   1.229242e-02   7.746071e-19   489552
  3.719789e+00   1.304711e-18   1.227853e-02   7.396031e-19   500328
  3.762251e+00   1.910828e-18   1.223705e-02   7.085851e-19   509852
  3.804741e+00   -7.507409e-19   1.229735e-02   6.702647e-19   524234
  3.847275e+00   -8.074521e-20   1.224781e-02   6.457109e-19   534104
  3.889779e+00   1.810851e-18   1.228211e-02   6.141807e-19   547048
  3.932320e+00   1.113184e-18   1.229545e-02   5.880052e-19   559328
  3.974872e+00   -1.855923e-19   1.228346e-02   5.631698e-19   571326
  4.017355e+00   1.844762e-19   1.224147e-02   5.405619e-19   581920
  4.059804e+00   5.769925e-19   1.225835e-02   5.129501e-19   594832
  4.102282e+00   -1.954677e-19   1.227222e-02   4.911482e-19   608048
  4.144825e+00   -4.858078e-19   1.228101e-02   4.700356e-19   621526
  4.187356e+00   -4.450597e-19   1.226445e-02   4.496103e-19   633240
  4.229822e+00   1.418103e-18   1.225981e-02   4.332334e-19   645472
  4.272346e+00   -3.015711e-20   1.230137e-02   4.126841e-19   660906
  4.314903e+00   -3.828819e-19   1.227030e-02   3.974409e-19   672856
  4.357425e+00   7.515137e-19   1.226838e-02   3.814266e-19   685980
  4.399921e+00   3.721646e-19   1.227191e-02   3.671551e-19   699256
  4.442476e+00   7.907938e-19   1.229990e-02   3.507165e-19   714730
  4.484986e+00   -4.028949e-19   1.223739e-02   3.374694e-19   725152
  4.527452e+00   -8.890841e-19   1.227054e-02   3.240956e-19   740420
  4.569941e+00   3.697323e-19   1.227636e-02   3.108383e-19   754312
